userpedonid,series,taxonomy,taxonkind,labpedonid
S09CA009002,Loafercreek,"Fine-loamy, mixed, superactive, thermic Ultic Haploxeralfs",Series,09N0866
S09CA009003,Wallyhill,"Fine-loamy, mixed, semiactive, mesic Xeric Haplohumults",Taxadjunct,09N0867
S09CA009005,Andihasset,"Fine-loamy, isotic, mesic Xeric Haplohumults",Taxadjunct,10N0443
S09CA009006,Lilygap,"Fine-loamy, isotic, mesic Vitrandic Palexeralfs",Taxadjunct,10N0444
S09CA009007,Devilsnose,"Medial over loamy-skeletal, mixed over isotic, mesic Alfic Humic Vitrixerands",Series,10N0445
S09CA109001,Crimeahouse,"Loamy-skeletal, magnesic, thermic Mollic Haploxeralfs",Series,09N0868
S09CA109002,Crimeadark,"Clayey-skeletal, magnesic, thermic Mollic Haploxeralfs",Series,09N0869
S09CA109003,Auberry,"Fine-loamy, mixed, active, thermic Ultic Argixerolls",Taxadjunct,09N0870
S09CA109004,Aquic Argixerolls,"Loamy-skeletal, mixed, superactive, thermic Aquic Argixerolls",Series,09N0871
S09CA109005,Typic Haploxerepts,"Coarse-loamy, mixed, semiactive, mesic Typic Haploxerepts",Taxon above family,09N0872
S09CAL-001,Exchequer,"Loamy-skeletal, mixed, superactive, nonacid, thermic Lithic Xerorthents",Series,UCD09L001
S09CAL-002,Auburn,"Loamy, mixed, superactive, thermic, shallow Ultic Haploxeralfs",Taxadjunct,UCD09L002
S1958CA039001,POZO,"Fine-loamy, mixed, thermic Cambidic Durixerolls",<Null>,40A3041
S2017CA109001,Argonaut,"Fine, mixed, superactive, thermic Ultic Haploxeralfs",Taxadjunct,17N0825
SO4-hwy49-716,Trabuco,"Fine, mixed, superactive, thermic Ultic Haploxeralfs",Series,UCDO4HY49716
SO4-hwy49-717,Redding,"Fine, mixed, active, thermic Haplic Durixeralfs",Taxadjunct,UCDO4HY49717
