"","order","suborder","greatgroup","series","top","bottom","units","family","subgroup","subgroup_code","class_string","topt","bottomt"
"40","Mollisols","Cryolls","Calcicryolls","SOHOLT","10","30","centimeters","Loamy-skeletal, mixed, superactive Lithic Calcicryolls","lithic calcicryolls","IEEA","Loamy-skeletal, mixed, superactive",10,30
"41","Mollisols","Xerolls","Haploxerolls","STARGLADE","4","10","inches"," Loamy-skeletal, mixed, superactive, frigid Lithic Haploxerolls","lithic haploxerolls","IFFC","Loamy-skeletal, mixed, superactive, frigid",10.16,25.4
"42","Mollisols","Xerolls","Calcixerolls","STREULING","3","5","inches","Loamy-skeletal, carbonatic, frigid Lithic Calcixerolls","lithic calcixerolls","IFDB","Loamy-skeletal, carbonatic, frigid",7.62,12.7
"43","Mollisols","Ustolls","Haplustolls","TARRYALL","0","10","inches","Fine-loamy, mixed, superactive, mesic Torriorthentic Haplustolls","torriorthentic haplustolls","IGGX","Fine-loamy, mixed, superactive, mesic",0,25.4
"44","Entisols","Fluvents","Cryofluvents","TETONVILLE","6","10","inches","Sandy-skeletal, mixed Mollic Cryofluvents","mollic cryofluvents","LDBE","Sandy-skeletal, mixed",15.24,25.4
"45","Mollisols","Ustolls","Argiustolls","THIRTYNINE","15","50","cm","Fine-silty, mixed, superactive, mesic Aridic Argiustolls","aridic argiustolls","IGER","Fine-silty, mixed, superactive, mesic",15,50
"46","Mollisols","Ustolls","Haplustolls","TREOFF","5","14","inches","Loamy, mixed, superactive, mesic, shallow Torriorthentic Haplustolls","torriorthentic haplustolls","IGGX","Loamy, mixed, superactive, mesic, shallow",12.7,35.56
"47","Mollisols","Ustolls","Haplustolls","TREON","15","30","centimeters","Loamy, mixed, superactive, mesic, shallow Torriorthentic Haplustolls","torriorthentic haplustolls","IGGX","Loamy, mixed, superactive, mesic, shallow",15,30
"48","Inceptisols","Aquepts","Humaquepts","TULANA","6","27","inches","Fine-silty, mixed, superactive, nonacid, mesic Aquandic Humaquepts","aquandic humaquepts","KAHC","Fine-silty, mixed, superactive, nonacid, mesic",15.24,68.58
"49","Inceptisols","Aquepts","Humaquepts","TULANA","6","27","inches","Fine-silty, mixed, superactive, nonacid, mesic Aquandic Humaquepts","aquandic humaquepts","KAHC","Fine-silty, mixed, superactive, nonacid, mesic",15.24,68.58
"50","Mollisols","Xerolls","Haploxerolls","WAPELLO","5","12","inches","Coarse-loamy, mixed, superactive, frigid Calcidic Haploxerolls","calcidic haploxerolls","IFFV","Coarse-loamy, mixed, superactive, frigid",12.7,30.48
