"","order","suborder","greatgroup","series","top","bottom","units","family","subgroup","subgroup_code","class_string","topt","bottomt"
"120","Mollisols","Aquolls","Endoaquolls","HERSHAL","24","36","inches","Coarse-silty over sandy or sandy-skeletal, mixed, superactive, mesic Cumulic Endoaquolls","cumulic endoaquolls","IBGI","Coarse-silty over sandy or sandy-skeletal, mixed, superactive, mesic",60.96,91.44
"121","Mollisols","Aquolls","Endoaquolls","HIDEWOOD","24","40","inches","Fine-silty, mixed, superactive, calcareous, frigid Cumulic Endoaquolls","cumulic endoaquolls","IBGI","Fine-silty, mixed, superactive, calcareous, frigid",60.96,101.6
"122","Mollisols","Ustolls","Haplustolls","HILMOE","10","20","inches","Clayey over loamy, smectitic, mesic Fluventic Haplustolls","fluventic haplustolls","IGGZ","Clayey over loamy, smectitic, mesic",25.4,50.8
"123","Mollisols","Xerolls","Haploxerolls","HOBOHILL","10","20","inches","Sandy, mixed, mesic Ultic Haploxerolls","ultic haploxerolls","IFFZf","Sandy, mixed, mesic",25.4,50.8
"124","Mollisols","Cryolls","Haplocryolls","HOPKINS","14","20","inches","Fine-loamy over fragmental, mixed, superactive Ustic Haplocryolls","ustic haplocryolls","IEFN","Fine-loamy over fragmental, mixed, superactive",35.56,50.8
"125","Mollisols","Ustolls","Haplustolls","HOPLEY","7","10","inches","Coarse-loamy, mixed, superactive, frigid Typic Haplustolls","typic haplustolls","IGGZe","Coarse-loamy, mixed, superactive, frigid",17.78,25.4
"126","Mollisols","Xerolls","Haploxerolls","IMBLER","20","36","inches","Coarse-loamy, mixed, superactive, mesic Pachic Haploxerolls","pachic haploxerolls","IFFS","Coarse-loamy, mixed, superactive, mesic",50.8,91.44
"127","Mollisols","Aquolls","Endoaquolls","ISAN","10","24","inches","Sandy, mixed, frigid Typic Endoaquolls","typic endoaquolls","IBGK","Sandy, mixed, frigid",25.4,60.96
"128","Mollisols","Aquolls","Endoaquolls","ISANTI","7","18","inches","Sandy, mixed, frigid Typic Endoaquolls","typic endoaquolls","IBGK","Sandy, mixed, frigid",17.78,45.72
"129","Mollisols","Aquolls","Endoaquolls","JOLLYGIANT","25","53","centimeters","Fine-silty, mixed, superactive, mesic Fluvaquentic Endoaquolls","fluvaquentic endoaquolls","IBGJ","Fine-silty, mixed, superactive, mesic",25,53
"130","Mollisols","Xerolls","Haploxerolls","JOSSET","20","30","inches","Coarse-loamy over sandy or sandy-skeletal, mixed, superactive, frigid Cumulic Haploxerolls","cumulic haploxerolls","IFFK","Coarse-loamy over sandy or sandy-skeletal, mixed, superactive, frigid",50.8,76.2
"131","Mollisols","Aquolls","Endoaquolls","KALONA","12","24","inches","Fine, smectitic, mesic Vertic Endoaquolls","vertic endoaquolls","IBGD","Fine, smectitic, mesic",30.48,60.96
"132","Mollisols","Aquolls","Endoaquolls","KATO","14","24","inches","Fine-silty over sandy or sandy-skeletal, mixed, superactive, mesic Typic Endoaquolls","typic endoaquolls","IBGK","Fine-silty over sandy or sandy-skeletal, mixed, superactive, mesic",35.56,60.96
"133","Mollisols","Xerolls","Haploxerolls","KEIGLEY","20","36","inches","Fine-silty, mixed, superactive, mesic Cumulic Haploxerolls","cumulic haploxerolls","IFFK","Fine-silty, mixed, superactive, mesic",50.8,91.44
"134","Mollisols","Aquolls","Cryaquolls","KLAMATH","20","30","inches","Fine-silty, mixed, superactive Cumulic Cryaquolls","cumulic cryaquolls","IBAG","Fine-silty, mixed, superactive",50.8,76.2
"135","Mollisols","Xerolls","Haploxerolls","KNAPKE","10","19","inches","Loamy-skeletal, mixed, superactive, mesic Entic Ultic Haploxerolls","entic ultic haploxerolls","IFFZe","Loamy-skeletal, mixed, superactive, mesic",25.4,48.26
