"","order","suborder","greatgroup","series","top","bottom","units","family","subgroup","subgroup_code","class_string","topt","bottomt"
"442","Mollisols","Aquolls","Natraquolls","STIRUM","7","24","inches","Coarse-loamy, mixed, superactive, frigid Typic Natraquolls","typic natraquolls","IBCD","Coarse-loamy, mixed, superactive, frigid",17.78,60.96
"443","Mollisols","Aquolls","Calciaquolls","STORLA","7","15","inches","Fine-loamy over sandy or sandy-skeletal, mesic
Aeric Calciaquolls","aeric calciaquolls","IBDB","Fine-loamy over sandy or sandy-skeletal, mesic",17.78,38.1
"444","Mollisols","Aquolls","Endoaquolls","STRANDQUIST","7","14","inches","Sandy-skeletal over loamy, mixed, superactive, calcareous, frigid Typic Endoaquolls","typic endoaquolls","IBGK","Sandy-skeletal over loamy, mixed, superactive, calcareous, frigid",17.78,35.56
"445","Mollisols","Aquolls","Calciaquolls","STRATHCONA","7","14","inches","Sandy over loamy, mixed, superactive, frigid Typic Calciaquolls","typic calciaquolls","IBDC","Sandy over loamy, mixed, superactive, frigid",17.78,35.56
"446","Mollisols","Xerolls","Durixerolls","STUDHORSE","7","10","inches","Fine, smectitic, mesic Typic Durixerolls","typic durixerolls","IFAP","Fine, smectitic, mesic",17.78,25.4
"447","Mollisols","Xerolls","Haploxerolls","STUKEL","7","12","inches","Loamy, mixed, superactive, mesic Aridic Lithic Haploxerolls","aridic lithic haploxerolls","IFFA","Loamy, mixed, superactive, mesic",17.78,30.48
"448","Mollisols","Aquolls","Endoaquolls","SUCKERCREEK","7","24","inches","Coarse-loamy, mixed, superactive, calcareous, mesic Fluvaquentic Endoaquolls","fluvaquentic endoaquolls","IBGJ","Coarse-loamy, mixed, superactive, calcareous, mesic",17.78,60.96
"449","Mollisols","Ustolls","Argiustolls","SUGAKOOL","7","14","inches","Fine-loamy, mixed, superactive, frigid Aridic Argiustolls","aridic argiustolls","IGER","Fine-loamy, mixed, superactive, frigid",17.78,35.56
"450","Mollisols","Ustolls","Argiustolls","SUGARDEE","7","14","inches","Fine-loamy, mixed, superactive, mesic Aridic Argiustolls","aridic argiustolls","IGER","Fine-loamy, mixed, superactive, mesic",17.78,35.56
"451","Mollisols","Ustolls","Calciustolls","SUGLO","7","15","inches","Fine-loamy, mixed, superactive, mesic Aridic Calciustolls","aridic calciustolls","IGCL","Fine-loamy, mixed, superactive, mesic",17.78,38.1
"452","Andisols","Cryands","Vitricryands","SUNSETCONE","7","15","inches","Medial over pumiceous or cindery, amorphic over glassy Humic Xeric Vitricryands","humic xeric vitricryands","DCEG","Medial over pumiceous or cindery, amorphic over glassy",17.78,38.1
"453","Mollisols","Cryolls","Argicryolls","SUNSHINE","7","15","inches","Clayey-skeletal, smectitic Alfic Argicryolls","alfic argicryolls","IEDK","Clayey-skeletal, smectitic",17.78,38.1
"454","Mollisols","Xerolls","Haploxerolls","SUPPLEE","7","12","inches","Ashy over sandy or sandy-skeletal, glassy over mixed, mesic Vitritorrandic Haploxerolls","vitritorrandic haploxerolls","IFFG","Ashy over sandy or sandy-skeletal, glassy over mixed, mesic",17.78,30.48
"455","Mollisols","Xerolls","Argixerolls","SUSIE CREEK","18","30","cm","Fine, smectitic, frigid Argiduridic Argixerolls","argiduridic argixerolls","IFEP","Fine, smectitic, frigid",18,30
"456","Mollisols","Udolls","Hapludolls","SVERDRUP","7","16","inches","Sandy, mixed, frigid Typic Hapludolls","typic hapludolls","IHFS","Sandy, mixed, frigid",17.78,40.64
"457","Mollisols","Udolls","Calciudolls","SWANLAKE","18","36","cm","Fine-loamy, mixed, superactive, mesic Typic Calciudolls","typic calciudolls","IHBF","Fine-loamy, mixed, superactive, mesic",18,36
