"","peiid","pedon_id","siteiid","site_id","obs_date","utmzone","utmeasting","utmnorthing","x","y","horizdatnm","gpspositionalerror","describer","pedonpurpose","pedontype","pedlabsampnum","labdatadescflag","tsectstopnum","tsectinterval","utransectid","tsectkind","tsectselmeth","elev_field","slope_field","aspect_field","plantassocnm","earthcovkind1","earthcovkind2","erocl","bedrckdepth","bedrckkind","bedrckhardness","hillslopeprof","geomslopeseg","shapeacross","shapedown","slopecomplex","drainagecl","geomposhill","geomposmntn","geomposflats","slope_shape","classdate","classifier","classtype","taxonname","localphase","taxonkind","seriesstatus","taxpartsize","taxorder","taxsuborder","taxgrtgroup","taxsubgrp","soiltaxedition","osdtypelocflag","taxmoistcl","taxtempregime","taxfamother","psctopdepth","pscbotdepth","selection_method","ecositeid","ecositenm","ecositecorrdate","es_classifier","es_selection_method","umbric.epipedon","argillic.horizon","ochric.epipedon","cambic.horizon","lithic.contact","paralithic.contact","mollic.epipedon","paralithic.materials","kandic.horizon","lithologic.discontinuity","andic.soil.properties","densic.contact","abrupt.textural.change","aquic.conditions","duripan","slickensides","redox.depletions.with.chroma.2.or.less","redox.concentrations","reduced.matrix","densic.materials","volcanic.glass","folistic.epipedon","albic.materials","human.transported.material","strongly.contrasting.particle.size.class","secondary.carbonates","anthropic.epipedon","surface_fgravel","surface_gravel","surface_cobbles","surface_stones","surface_boulders","surface_channers","surface_flagstones","surface_paragravel","surface_paracobbles","landform_string","pmkind","pmorigin","in_ca630","musym","x_std","y_std","optional"
"119","296620","S07CA009003",297065,"S2007CA630SMM042",2007-10-19,10,722140,4257176,-120.454940795898,38.4352493286133,"NAD83",NA,"Sue Malone","full pedon description","OSD pedon","08N0157",0,NA,NA,NA,NA,NA,1170,6,316,"Sierran Mixed Conifer",NA,NA,NA,NA,NA,NA,"backslope",NA,"linear","linear","simple","well",NA,"mountaintop",NA,"linear / linear",2011-07-03 05:18:55,NA,"correlated","MANTREE",NA,"series",NA,"fine-loamy","alfisols","xeralfs","palexeralfs","andic palexeralfs","tenth edition",0,"xeric","mesic",NA,38,88,"most recent",NA,NA,NA,NA,NA,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,"ridge","volcanic ash & residuum & colluvium","NA & granitoid",TRUE,"6041",722139.042554757,4257176.6774222,TRUE
"120","296621","S07CA009004",297064,"S2007CA630SMM040",2007-10-16,10,724540,4256592,-120.427528381348,38.4326362609863,"NAD83",NA,"Sue Malone","full pedon description","OSD pedon","08N0158",0,NA,NA,NA,NA,NA,1300,12,270,"Sierran Mixed Conifer",NA,NA,NA,NA,NA,NA,"backslope",NA,"linear","linear","simple","well",NA,"mountaintop",NA,"linear / linear",2007-10-16 00:00:00,NA,"sampled as","Andihasset",NA,NA,NA,"fine-loamy","alfisols","xeralfs","palexeralfs","andic palexeralfs","tenth edition",0,"xeric","mesic",NA,30,80,"single record",NA,NA,NA,NA,NA,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,"ridge & mudflow","volcanic ash & colluvium","NA & tuff breccia",TRUE,"4040",724540.118523722,4256953.56986241,TRUE
"121","296622","S07CA009005",297066,"S2007CA630SMM044",2007-10-19,10,726251,4259713,-120.40705871582,38.4570579528809,"NAD83",NA,"Sue Malone","full pedon description","OSD pedon","08N0159",0,NA,NA,NA,NA,NA,1342,37,340,"Sierran Mixed Conifer",NA,NA,NA,NA,NA,NA,"backslope",NA,"linear","linear","complex","well",NA,"mountainflank",NA,"linear / linear",2011-07-03 05:18:55,NA,"correlated","MACMERTEN",NA,"series",NA,"medial over loamy","andisols","xerands","haploxerands","alfic humic haploxerands","tenth edition",0,"xeric","mesic",NA,8,108,"most recent",NA,NA,NA,NA,NA,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,"ridge","volcanic ash & colluvium","NA & volcanic, unspecified",TRUE,"4048",726250.814296083,4259713.29961542,TRUE
"122","296623","S07CA009006",297063,"S2007CA630SMM017",2007-06-04,10,724459,4251310,-120.430358886719,38.3818054199219,"NAD83",NA,"Sue Malone","full pedon description","OSD pedon","08N0160",0,NA,NA,NA,NA,NA,975,45,14,"Sierran Mixed Conifer",NA,NA,NA,NA,NA,NA,"backslope",NA,"linear","linear","simple","well",NA,"mountainflank",NA,"linear / linear",2011-07-03 05:18:55,NA,"correlated","SCHAAD",NA,"series",NA,"fine-loamy","alfisols","xeralfs","palexeralfs","ultic palexeralfs","tenth edition",0,"xeric","mesic",NA,30,80,"most recent",NA,NA,NA,NA,NA,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,"mountain slope","colluvium & residuum","metasedimentary, unspecified",TRUE,"8287",724450.320052306,4251304.75868885,TRUE
"123","296624","S07CA009008",297067,"S2007CA630SMM045",2007-10-22,10,724585,4256904,-120.427024841309,38.4321632385254,"NAD83",NA,"Sue Malone","full pedon description","TUD pedon","08N0161",0,NA,NA,NA,NA,NA,1266,10,120,"Sierran Mixed Conifer",NA,NA,NA,91,"tuff breccia","indurated","shoulder",NA,"linear","convex","simple","well",NA,"mountaintop",NA,"linear / convex",2011-07-03 05:18:55,NA,"correlated","MCCARTHY",NA,"series",NA,"medial-skeletal","andisols","xerands","haploxerands","humic haploxerands","tenth edition",0,"xeric","mesic",NA,0,91,"most recent",NA,NA,NA,NA,NA,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,10,11,0,0,0,0,0,"ridge","volcanic ash & residuum & colluvium","NA & tuff breccia",TRUE,"4040",724585.548764785,4256902.30142619,TRUE
"165","307602","S09CA109003",346939,"S2008CA630BJM001",2008-03-24,10,733453.48,4201733.97,-120.343612670898,37.9333305358887,"NAD83",NA,"Ben Marshall","laboratory sampling site","TUD pedon","09N0870",1,NA,NA,NA,NA,NA,536,10,148,"Interior Live Oak/Chaparral",NA,NA,NA,140,"granodiorite","moderately","toeslope",NA,"convex","linear","simple","well","nose slope",NA,NA,"convex / linear",2017-10-19 00:00:00,"Andrew Brown","correlated","Auberry",NA,"taxadjunct","established","fine-loamy","mollisols","xerolls","argixerolls","ultic argixerolls","twelfth edition",0,"xeric","thermic","not used",36,86,"most recent",NA,NA,NA,NA,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,1,0,0,0,0,0,0,0,"hillslope","colluvium & residuum","NA & granodiorite",TRUE,"6074",733455.296429481,4201746.60226151,TRUE
"195","309624","S08CA009003",309596,"S2007CA630SMM019",2007-06-07,10,728854.83,4252273.81,-120.379722595215,38.3894424438477,"NAD83",NA,"Sue Malone","full pedon description","correlates to named soil","08N0693",0,NA,NA,NA,NA,NA,1126,45,58,"Sierran Mixed Conifer",NA,NA,NA,NA,NA,NA,"backslope","middle third","concave","convex",NA,"well",NA,"mountainflank, center third",NA,"concave / convex",2009-02-18 21:52:20,NA,"correlated","MUSICK",NA,"series",NA,"fine-loamy","alfisols","xeralfs","haploxeralfs","ultic haploxeralfs","tenth edition",0,"xeric","mesic",NA,36,86,"most recent",NA,NA,NA,NA,NA,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,NA,"colluvium & residuum","NA & granitoid",TRUE,"6039",728849.852956875,4252277.27522498,TRUE
"196","309626","S08CA009001",309597,"S2007CA630DWB016",2007-07-18,10,720907,4227300,-120.478363037109,38.1665306091309,"NAD83",NA,"Dean Burkett","full pedon description","OSD pedon","08N0691",0,NA,NA,NA,NA,NA,709,10,310,"Montane-Hardwood-Conifer",NA,NA,NA,185,"schist, mica","moderately","backslope","upper third",NA,NA,NA,"well","side slope",NA,NA,NA,2008-12-02 19:43:58,NA,"correlated","NEDSGULCH",NA,"series",NA,"fine-loamy","alfisols","xeralfs","palexeralfs","haplic palexeralfs","tenth edition",0,"xeric","mesic",NA,17,67,"most recent",NA,NA,NA,NA,NA,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,"hillslope","colluvium & residuum","schist, unspecified",TRUE,"8171",720908.435042212,4227296.83617321,TRUE
"197","309629","S08CA009002",309598,"S2008CA630DWB025",2008-08-06,10,726140.64,4230815.35,-120.417495727539,38.1969451904297,"NAD83",NA,"Dean Burkett","full pedon description","OSD pedon","08N0692",0,NA,NA,NA,NA,NA,1009,21,30,"Sierran Mixed Conifer - Ponderosa pine",NA,NA,NA,NA,NA,NA,"backslope",NA,"convex","concave",NA,"well",NA,"mountaintop",NA,"convex / concave",2009-02-18 21:54:52,NA,"correlated","MARJONMINE",NA,"series",NA,"fine-loamy","alfisols","xeralfs","haploxeralfs","ultic haploxeralfs","tenth edition",0,"xeric","mesic",NA,44,94,"most recent",NA,NA,NA,NA,NA,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,5,0,0,0,0,0,0,0,"mountain slope","colluvium & residuum","schist, mica",TRUE,"8160",726146.776526482,4230819.6136223,TRUE
"198","309630","S08CA109001",309599,"S2008CA630AMS017",2008-06-04,10,734822.09,4196883.26,-120.329719543457,37.8891639709473,"NAD83",NA,"Alison Steglich","full pedon description","OSD pedon","08N0694",0,NA,NA,NA,NA,NA,544,12,70,"Blue Oak Woodland",NA,NA,NA,180,"phyllite","moderately","backslope","middle third","linear","concave","simple","well","side slope",NA,NA,"linear / concave",2008-12-02 19:43:58,NA,"correlated","DEERFLAT",NA,"series",NA,"fine-loamy","alfisols","xeralfs","palexeralfs","ultic palexeralfs","tenth edition",0,"xeric","thermic",NA,20,70,"most recent",NA,NA,NA,NA,NA,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,"erosion remnant","colluvium & residuum","phyllite",TRUE,"7210",734816.976361936,4196879.90752594,TRUE
