"","mukey","muname","hydgrpdcd","cokey","compname","compkind","comppct_r","majcompflag","hydgrp"
"188",1476716,"Rock outcrop-Canisrocks-Xeric Dystrocryepts association, 0 to 35 percent slopes, mountain valleys, scoured, filled, cryic",NA,16632712,"Xeric Dystrocryepts","Family",20,"Yes","B"
"189",1476716,"Rock outcrop-Canisrocks-Xeric Dystrocryepts association, 0 to 35 percent slopes, mountain valleys, scoured, filled, cryic",NA,16632713,"Water","Miscellaneous area",2,"No ","X"
"190",1476716,"Rock outcrop-Canisrocks-Xeric Dystrocryepts association, 0 to 35 percent slopes, mountain valleys, scoured, filled, cryic",NA,16632714,"Canisrocks","Series",22,"Yes","A"
"191",1476718,"Rock outcrop, domes, cryic",NA,16632722,"Typic Cryorthents","Family",8,"No ","X"
"192",1476718,"Rock outcrop, domes, cryic",NA,16632721,"Lithic Dystrocryepts","Taxon above family",2,"No ","X"
"193",1476718,"Rock outcrop, domes, cryic",NA,16632720,"Rock outcrop","Miscellaneous area",90,"Yes","X"
"194",1486435,"Rock outcrop-Rubble land association, 0 to 80 percent slopes, metamorphic, cirques, mountainflanks, cryic",NA,16632725,"Water","Miscellaneous area",2,"No ","X"
"195",1486435,"Rock outcrop-Rubble land association, 0 to 80 percent slopes, metamorphic, cirques, mountainflanks, cryic",NA,16632726,"Glaciers","Miscellaneous area",2,"No ","X"
"196",1486435,"Rock outcrop-Rubble land association, 0 to 80 percent slopes, metamorphic, cirques, mountainflanks, cryic",NA,16632723,"Rock outcrop","Miscellaneous area",35,"Yes","X"
"197",1486435,"Rock outcrop-Rubble land association, 0 to 80 percent slopes, metamorphic, cirques, mountainflanks, cryic",NA,16632724,"Histosols","Taxon above family",1,"No ","X"
"198",1486435,"Rock outcrop-Rubble land association, 0 to 80 percent slopes, metamorphic, cirques, mountainflanks, cryic",NA,16632729,"Rubble land","Miscellaneous area",35,"Yes","X"
"199",1486435,"Rock outcrop-Rubble land association, 0 to 80 percent slopes, metamorphic, cirques, mountainflanks, cryic",NA,16632727,"Typic Cryorthents","Family",11,"No ","X"
"200",1486435,"Rock outcrop-Rubble land association, 0 to 80 percent slopes, metamorphic, cirques, mountainflanks, cryic",NA,16632728,"Xeric Dystrocryepts","Family",14,"No ","X"
"201",1486440,"Canisrocks-Rock outcrop-Rubble land complex, 30 to 80 percent slopes, mountainflanks, cryic",NA,16632732,"Lithic Cryorthents","Family",3,"No ","X"
"202",1486440,"Canisrocks-Rock outcrop-Rubble land complex, 30 to 80 percent slopes, mountainflanks, cryic",NA,16632731,"Xeric Dystrocryepts","Family",10,"No ","X"
"203",1486440,"Canisrocks-Rock outcrop-Rubble land complex, 30 to 80 percent slopes, mountainflanks, cryic",NA,16632736,"Rock outcrop","Miscellaneous area",30,"Yes","X"
"204",1486440,"Canisrocks-Rock outcrop-Rubble land complex, 30 to 80 percent slopes, mountainflanks, cryic",NA,16632733,"Histosols","Taxon above family",1,"No ","X"
"205",1486440,"Canisrocks-Rock outcrop-Rubble land complex, 30 to 80 percent slopes, mountainflanks, cryic",NA,16632734,"Water","Miscellaneous area",1,"No ","X"
"206",1486440,"Canisrocks-Rock outcrop-Rubble land complex, 30 to 80 percent slopes, mountainflanks, cryic",NA,16632735,"Rubble land","Miscellaneous area",20,"Yes","X"
"207",1486440,"Canisrocks-Rock outcrop-Rubble land complex, 30 to 80 percent slopes, mountainflanks, cryic",NA,16632730,"Canisrocks","Series",35,"Yes","A"
"208",1486461,"Canisrocks-Glacierpoint-Vitrandic Cryorthents complex, bouldery, 5 to 20 percent slopes, ground moraines, cryic",NA,16632745,"Xeric Dystrocryepts","Family",11,"No ","X"
"209",1486461,"Canisrocks-Glacierpoint-Vitrandic Cryorthents complex, bouldery, 5 to 20 percent slopes, ground moraines, cryic",NA,16632744,"Oxyaquic Dystrocryepts","Family",12,"No ","X"
"210",1486461,"Canisrocks-Glacierpoint-Vitrandic Cryorthents complex, bouldery, 5 to 20 percent slopes, ground moraines, cryic",NA,16632739,"Water","Miscellaneous area",1,"No ","X"
"211",1486461,"Canisrocks-Glacierpoint-Vitrandic Cryorthents complex, bouldery, 5 to 20 percent slopes, ground moraines, cryic",NA,16632740,"Histosols","Taxon above family",1,"No ","X"
"212",1486461,"Canisrocks-Glacierpoint-Vitrandic Cryorthents complex, bouldery, 5 to 20 percent slopes, ground moraines, cryic",NA,16632737,"Humic Dystrocryepts","Family",13,"No ","X"
"213",1486461,"Canisrocks-Glacierpoint-Vitrandic Cryorthents complex, bouldery, 5 to 20 percent slopes, ground moraines, cryic",NA,16632738,"Rock outcrop","Miscellaneous area",7,"No ","X"
"214",1486461,"Canisrocks-Glacierpoint-Vitrandic Cryorthents complex, bouldery, 5 to 20 percent slopes, ground moraines, cryic",NA,16632743,"Vitrandic Cryorthents","Family",15,"Yes","D"
"215",1486461,"Canisrocks-Glacierpoint-Vitrandic Cryorthents complex, bouldery, 5 to 20 percent slopes, ground moraines, cryic",NA,16632741,"Glacierpoint","Series",15,"Yes","A"
"216",1486461,"Canisrocks-Glacierpoint-Vitrandic Cryorthents complex, bouldery, 5 to 20 percent slopes, ground moraines, cryic",NA,16632742,"Canisrocks","Series",25,"Yes","A"
"217",1487078,"Oxyaquic Cryorthents-Canisrocks complex, 0 to 15 percent slopes, ground moraines, wet/dry, cryic",NA,16632749,"Oxyaquic Cryorthents","Family",25,"Yes","A/D"
"218",1487078,"Oxyaquic Cryorthents-Canisrocks complex, 0 to 15 percent slopes, ground moraines, wet/dry, cryic",NA,16632746,"Xeric Dystrocryepts","Family",10,"No ","X"
"219",1487078,"Oxyaquic Cryorthents-Canisrocks complex, 0 to 15 percent slopes, ground moraines, wet/dry, cryic",NA,16632748,"Vitrandic Cryorthents","Family",14,"No ","X"
"220",1487078,"Oxyaquic Cryorthents-Canisrocks complex, 0 to 15 percent slopes, ground moraines, wet/dry, cryic",NA,16632753,"Typic Cryorthents","Family",10,"No ","X"
"221",1487078,"Oxyaquic Cryorthents-Canisrocks complex, 0 to 15 percent slopes, ground moraines, wet/dry, cryic",NA,16632750,"Canisrocks","Series",15,"Yes","A"
"222",1487078,"Oxyaquic Cryorthents-Canisrocks complex, 0 to 15 percent slopes, ground moraines, wet/dry, cryic",NA,16632747,"Oxyaquic Cryopsamments","Family",7,"No ","X"
"223",1487078,"Oxyaquic Cryorthents-Canisrocks complex, 0 to 15 percent slopes, ground moraines, wet/dry, cryic",NA,16632752,"Water","Miscellaneous area",4,"No ","X"
"224",1487078,"Oxyaquic Cryorthents-Canisrocks complex, 0 to 15 percent slopes, ground moraines, wet/dry, cryic",NA,16632754,"Oxyaquic Dystrocryepts","Family",14,"No ","X"
"225",1487078,"Oxyaquic Cryorthents-Canisrocks complex, 0 to 15 percent slopes, ground moraines, wet/dry, cryic",NA,16632751,"Histosols","Taxon above family",1,"No ","X"
"226",1487336,"Canisrocks-Xeric Dystrocryepts association, 5 to 30 percent slopes, mountain valleys, moraines, cryic",NA,16632796,"Vitrandic Dystrocryepts","Family",1,"No ","X"
"227",1487336,"Canisrocks-Xeric Dystrocryepts association, 5 to 30 percent slopes, mountain valleys, moraines, cryic",NA,16632797,"Oxyaquic Dystrocryepts","Family",11,"No ","X"
"228",1487336,"Canisrocks-Xeric Dystrocryepts association, 5 to 30 percent slopes, mountain valleys, moraines, cryic",NA,16632798,"Typic Cryorthents","Family",11,"No ","X"
"229",1487336,"Canisrocks-Xeric Dystrocryepts association, 5 to 30 percent slopes, mountain valleys, moraines, cryic",NA,16632799,"Xeric Dystrocryepts","Family",3,"No ","X"
"230",1487336,"Canisrocks-Xeric Dystrocryepts association, 5 to 30 percent slopes, mountain valleys, moraines, cryic",NA,16632800,"Typic Cryopsamments","Family",1,"No ","X"
"231",1487336,"Canisrocks-Xeric Dystrocryepts association, 5 to 30 percent slopes, mountain valleys, moraines, cryic",NA,16632801,"Histic Cryaquepts","Family",2,"No ","X"
"232",1487336,"Canisrocks-Xeric Dystrocryepts association, 5 to 30 percent slopes, mountain valleys, moraines, cryic",NA,16632802,"Xeric Dystrocryepts","Family",3,"No ","X"
"233",1487336,"Canisrocks-Xeric Dystrocryepts association, 5 to 30 percent slopes, mountain valleys, moraines, cryic",NA,16632803,"Xeric Dystrocryepts","Family",20,"Yes","A"
"234",1487336,"Canisrocks-Xeric Dystrocryepts association, 5 to 30 percent slopes, mountain valleys, moraines, cryic",NA,16632804,"Rock outcrop","Miscellaneous area",11,"No ","X"
"235",1487336,"Canisrocks-Xeric Dystrocryepts association, 5 to 30 percent slopes, mountain valleys, moraines, cryic",NA,16632805,"Canisrocks","Series",20,"Yes","A"
"236",1487336,"Canisrocks-Xeric Dystrocryepts association, 5 to 30 percent slopes, mountain valleys, moraines, cryic",NA,16632806,"Typic Dystrocryepts","Family",3,"No ","X"
"237",1487336,"Canisrocks-Xeric Dystrocryepts association, 5 to 30 percent slopes, mountain valleys, moraines, cryic",NA,16632794,"Histosols","Taxon above family",1,"No ","X"
"238",1487336,"Canisrocks-Xeric Dystrocryepts association, 5 to 30 percent slopes, mountain valleys, moraines, cryic",NA,16632795,"Water","Miscellaneous area",1,"No ","X"
"239",1487336,"Canisrocks-Xeric Dystrocryepts association, 5 to 30 percent slopes, mountain valleys, moraines, cryic",NA,16632808,"Humic Dystrocryepts","Family",11,"No ","X"
"240",1487336,"Canisrocks-Xeric Dystrocryepts association, 5 to 30 percent slopes, mountain valleys, moraines, cryic",NA,16632807,"Lithic Cryopsamments","Family",1,"No ","X"
"241",1487471,"Rock outcrop-Canisrocks complex, 30 to 70 percent slopes, mountain slopes, cryic",NA,16632771,"Vitrandic Cryorthents","Family",10,"No ","X"
"242",1487471,"Rock outcrop-Canisrocks complex, 30 to 70 percent slopes, mountain slopes, cryic",NA,16632770,"Glacierpoint","Series",5,"No ","X"
"243",1487471,"Rock outcrop-Canisrocks complex, 30 to 70 percent slopes, mountain slopes, cryic",NA,16632775,"Histosols","Taxon above family",1,"No ","X"
"244",1487471,"Rock outcrop-Canisrocks complex, 30 to 70 percent slopes, mountain slopes, cryic",NA,16632772,"Rock outcrop","Miscellaneous area",45,"Yes","X"
"245",1487471,"Rock outcrop-Canisrocks complex, 30 to 70 percent slopes, mountain slopes, cryic",NA,16632773,"Vitrandic Dystrocryepts","Family",4,"No ","X"
"246",1487471,"Rock outcrop-Canisrocks complex, 30 to 70 percent slopes, mountain slopes, cryic",NA,16632774,"Humic Lithic Dystrocryepts","Family",4,"No ","X"
"247",1487471,"Rock outcrop-Canisrocks complex, 30 to 70 percent slopes, mountain slopes, cryic",NA,16632768,"Water","Miscellaneous area",1,"No ","X"
"248",1487471,"Rock outcrop-Canisrocks complex, 30 to 70 percent slopes, mountain slopes, cryic",NA,16632769,"Canisrocks","Series",30,"Yes","A"
"249",1540884,"Rock outcrop-Canisrocks-Xeric Dystrocryepts complex, 5 to 45 percent slopes, moraines, mountain slopes, cryic",NA,16632834,"Rubble land","Miscellaneous area",1,"No ","X"
"250",1540884,"Rock outcrop-Canisrocks-Xeric Dystrocryepts complex, 5 to 45 percent slopes, moraines, mountain slopes, cryic",NA,16632835,"Typic Cryorthents","Family",2,"No ","X"
"251",1540884,"Rock outcrop-Canisrocks-Xeric Dystrocryepts complex, 5 to 45 percent slopes, moraines, mountain slopes, cryic",NA,16632836,"Typic Cryorthents","Family",2,"No ","X"
"252",1540884,"Rock outcrop-Canisrocks-Xeric Dystrocryepts complex, 5 to 45 percent slopes, moraines, mountain slopes, cryic",NA,16632837,"Glacierpoint","Series",10,"No ","X"
"253",1540884,"Rock outcrop-Canisrocks-Xeric Dystrocryepts complex, 5 to 45 percent slopes, moraines, mountain slopes, cryic",NA,16632838,"Water","Miscellaneous area",1,"No ","X"
"254",1540884,"Rock outcrop-Canisrocks-Xeric Dystrocryepts complex, 5 to 45 percent slopes, moraines, mountain slopes, cryic",NA,16632839,"Histosols","Taxon above family",1,"No ","X"
"255",1540884,"Rock outcrop-Canisrocks-Xeric Dystrocryepts complex, 5 to 45 percent slopes, moraines, mountain slopes, cryic",NA,16632827,"Oxyaquic Dystrocryepts","Family",1,"No ","X"
"256",1540884,"Rock outcrop-Canisrocks-Xeric Dystrocryepts complex, 5 to 45 percent slopes, moraines, mountain slopes, cryic",NA,16632828,"Oxyaquic Dystrocryepts","Family",3,"No ","X"
"257",1540884,"Rock outcrop-Canisrocks-Xeric Dystrocryepts complex, 5 to 45 percent slopes, moraines, mountain slopes, cryic",NA,16632829,"Vitrandic Cryorthents","Family",5,"No ","X"
"258",1540884,"Rock outcrop-Canisrocks-Xeric Dystrocryepts complex, 5 to 45 percent slopes, moraines, mountain slopes, cryic",NA,16632830,"Vitrandic Dystrocryepts","Family",2,"No ","X"
"259",1540884,"Rock outcrop-Canisrocks-Xeric Dystrocryepts complex, 5 to 45 percent slopes, moraines, mountain slopes, cryic",NA,16632831,"Lithic Cryopsamments","Family",1,"No ","X"
"260",1540884,"Rock outcrop-Canisrocks-Xeric Dystrocryepts complex, 5 to 45 percent slopes, moraines, mountain slopes, cryic",NA,16632832,"Lithic Cryorthents","Family",2,"No ","X"
"261",1540884,"Rock outcrop-Canisrocks-Xeric Dystrocryepts complex, 5 to 45 percent slopes, moraines, mountain slopes, cryic",NA,16632833,"Typic Cryopsamments","Family",2,"No ","X"
"262",1540884,"Rock outcrop-Canisrocks-Xeric Dystrocryepts complex, 5 to 45 percent slopes, moraines, mountain slopes, cryic",NA,16632847,"Lithic Xeropsamments","Family",1,"No ","X"
"263",1540884,"Rock outcrop-Canisrocks-Xeric Dystrocryepts complex, 5 to 45 percent slopes, moraines, mountain slopes, cryic",NA,16632848,"Xeric Haplocryalfs","Family",2,"No ","X"
"264",1540884,"Rock outcrop-Canisrocks-Xeric Dystrocryepts complex, 5 to 45 percent slopes, moraines, mountain slopes, cryic",NA,16632849,"Waterwheel","Series",2,"No ","X"
"265",1540884,"Rock outcrop-Canisrocks-Xeric Dystrocryepts complex, 5 to 45 percent slopes, moraines, mountain slopes, cryic",NA,16632850,"Humic Lithic Dystrocryepts","Family",2,"No ","X"
"266",1540884,"Rock outcrop-Canisrocks-Xeric Dystrocryepts complex, 5 to 45 percent slopes, moraines, mountain slopes, cryic",NA,16632851,"Rock outcrop","Miscellaneous area",20,"Yes","X"
"267",1540884,"Rock outcrop-Canisrocks-Xeric Dystrocryepts complex, 5 to 45 percent slopes, moraines, mountain slopes, cryic",NA,16632843,"Canisrocks","Series",15,"Yes","A"
"268",1540884,"Rock outcrop-Canisrocks-Xeric Dystrocryepts complex, 5 to 45 percent slopes, moraines, mountain slopes, cryic",NA,16632840,"Xeric Dystrocryepts","Family",3,"No ","X"
"269",1540884,"Rock outcrop-Canisrocks-Xeric Dystrocryepts complex, 5 to 45 percent slopes, moraines, mountain slopes, cryic",NA,16632841,"Xeric Dystrocryepts","Family",2,"No ","X"
"270",1540884,"Rock outcrop-Canisrocks-Xeric Dystrocryepts complex, 5 to 45 percent slopes, moraines, mountain slopes, cryic",NA,16632842,"Vitrandic Dystrocryepts","Family",3,"No ","X"
"271",1540884,"Rock outcrop-Canisrocks-Xeric Dystrocryepts complex, 5 to 45 percent slopes, moraines, mountain slopes, cryic",NA,16632844,"Xeric Dystrocryepts","Family",15,"Yes","A"
"272",1540884,"Rock outcrop-Canisrocks-Xeric Dystrocryepts complex, 5 to 45 percent slopes, moraines, mountain slopes, cryic",NA,16632845,"Oxyaquic Dystrocryepts","Family",1,"No ","X"
"273",1540884,"Rock outcrop-Canisrocks-Xeric Dystrocryepts complex, 5 to 45 percent slopes, moraines, mountain slopes, cryic",NA,16632846,"Lithic Xerorthents","Family",1,"No ","X"
"274",1541783,"Craneflat-Rock outcrop-Rubble land-Waterwheel association, 30 to 80 percent slopes, mountainflanks, frigid",NA,16632884,"Badgerpass","Series",5,"No ","X"
"275",1541783,"Craneflat-Rock outcrop-Rubble land-Waterwheel association, 30 to 80 percent slopes, mountainflanks, frigid",NA,16632881,"Waterwheel","Series",20,"Yes","A"
"276",1541783,"Craneflat-Rock outcrop-Rubble land-Waterwheel association, 30 to 80 percent slopes, mountainflanks, frigid",NA,16632882,"Humic Lithic Dystrocryepts","Family",5,"No ","X"
"277",1541783,"Craneflat-Rock outcrop-Rubble land-Waterwheel association, 30 to 80 percent slopes, mountainflanks, frigid",NA,16632883,"Craneflat","Series",25,"Yes","A"
"278",1541783,"Craneflat-Rock outcrop-Rubble land-Waterwheel association, 30 to 80 percent slopes, mountainflanks, frigid",NA,16632885,"Rubble land","Miscellaneous area",20,"Yes","X"
"279",1541783,"Craneflat-Rock outcrop-Rubble land-Waterwheel association, 30 to 80 percent slopes, mountainflanks, frigid",NA,16632886,"Rock outcrop","Miscellaneous area",25,"Yes","X"
"280",1541816,"Clarkslodge-Ultic Palexeralfs complex, metasedimentary, 15 to 45 percent slopes, mountain slopes, landslides, frigid",NA,16632900,"Typic Haploxerults","Family",10,"No ","X"
"281",1541816,"Clarkslodge-Ultic Palexeralfs complex, metasedimentary, 15 to 45 percent slopes, mountain slopes, landslides, frigid",NA,16632902,"Humic Dystroxerepts","Family",10,"No ","X"
"282",1541816,"Clarkslodge-Ultic Palexeralfs complex, metasedimentary, 15 to 45 percent slopes, mountain slopes, landslides, frigid",NA,16632899,"Ultic Haploxeralfs","Family",5,"No ","X"
"283",1541816,"Clarkslodge-Ultic Palexeralfs complex, metasedimentary, 15 to 45 percent slopes, mountain slopes, landslides, frigid",NA,16632904,"Clarkslodge","Series",30,"Yes","B"
"284",1541816,"Clarkslodge-Ultic Palexeralfs complex, metasedimentary, 15 to 45 percent slopes, mountain slopes, landslides, frigid",NA,16632901,"Inceptic Haploxeralfs","Family",10,"No ","X"
"285",1541816,"Clarkslodge-Ultic Palexeralfs complex, metasedimentary, 15 to 45 percent slopes, mountain slopes, landslides, frigid",NA,16632905,"Humults","Taxon above family",5,"No ","X"
"286",1541816,"Clarkslodge-Ultic Palexeralfs complex, metasedimentary, 15 to 45 percent slopes, mountain slopes, landslides, frigid",NA,16632903,"Andic Dystrudepts","Family",5,"No ","X"
"287",1541816,"Clarkslodge-Ultic Palexeralfs complex, metasedimentary, 15 to 45 percent slopes, mountain slopes, landslides, frigid",NA,16632898,"Ultic Palexeralfs","Family",15,"Yes","B"
"288",1541816,"Clarkslodge-Ultic Palexeralfs complex, metasedimentary, 15 to 45 percent slopes, mountain slopes, landslides, frigid",NA,16632897,"Ultic Palexeralfs","Family",10,"No ","X"
"289",1541852,"Rock outcrop-Craneflat-Dystric Xerorthents complex, 30 to 65 percent slopes, mountain slopes, frigid",NA,16632920,"Rubble land","Miscellaneous area",5,"No ","X"
"290",1541852,"Rock outcrop-Craneflat-Dystric Xerorthents complex, 30 to 65 percent slopes, mountain slopes, frigid",NA,16632915,"Dystric Xerorthents","Family",20,"Yes","A"
"291",1541852,"Rock outcrop-Craneflat-Dystric Xerorthents complex, 30 to 65 percent slopes, mountain slopes, frigid",NA,16632916,"Craneflat","Series",25,"Yes","A"
"292",1541852,"Rock outcrop-Craneflat-Dystric Xerorthents complex, 30 to 65 percent slopes, mountain slopes, frigid",NA,16632918,"Humic Lithic Dystroxerepts","Family",2,"No ","X"
"293",1541852,"Rock outcrop-Craneflat-Dystric Xerorthents complex, 30 to 65 percent slopes, mountain slopes, frigid",NA,16632919,"Typic Xeropsamments","Family",3,"No ","X"
"294",1541852,"Rock outcrop-Craneflat-Dystric Xerorthents complex, 30 to 65 percent slopes, mountain slopes, frigid",NA,16632917,"Rock outcrop","Miscellaneous area",45,"Yes","X"
"295",1542308,"Canisrocks-Rock outcrop-Glacierpoint complex, 0 to 35 percent slopes, mountain slopes, moraines, joints, cryic",NA,16632932,"Canisrocks","Series",20,"Yes","A"
"296",1542308,"Canisrocks-Rock outcrop-Glacierpoint complex, 0 to 35 percent slopes, mountain slopes, moraines, joints, cryic",NA,16632929,"Rock outcrop","Miscellaneous area",20,"Yes","X"
"297",1542308,"Canisrocks-Rock outcrop-Glacierpoint complex, 0 to 35 percent slopes, mountain slopes, moraines, joints, cryic",NA,16632931,"Oxyaquic Dystrocryepts","Family",2,"No ","X"
"298",1542308,"Canisrocks-Rock outcrop-Glacierpoint complex, 0 to 35 percent slopes, mountain slopes, moraines, joints, cryic",NA,16632936,"Humic Dystrocryepts","Family",5,"No ","X"
"299",1542308,"Canisrocks-Rock outcrop-Glacierpoint complex, 0 to 35 percent slopes, mountain slopes, moraines, joints, cryic",NA,16632933,"Xeric Dystrocryepts","Family",5,"No ","X"
"300",1542308,"Canisrocks-Rock outcrop-Glacierpoint complex, 0 to 35 percent slopes, mountain slopes, moraines, joints, cryic",NA,16632930,"Humic Lithic Dystrocryepts","Family",3,"No ","X"
"301",1542308,"Canisrocks-Rock outcrop-Glacierpoint complex, 0 to 35 percent slopes, mountain slopes, moraines, joints, cryic",NA,16632935,"Glacierpoint","Series",15,"Yes","A"
"302",1542308,"Canisrocks-Rock outcrop-Glacierpoint complex, 0 to 35 percent slopes, mountain slopes, moraines, joints, cryic",NA,16632940,"Typic Cryorthents","Family",5,"No ","X"
"303",1542308,"Canisrocks-Rock outcrop-Glacierpoint complex, 0 to 35 percent slopes, mountain slopes, moraines, joints, cryic",NA,16632937,"Typic Cryorthents","Family",5,"No ","X"
"304",1542308,"Canisrocks-Rock outcrop-Glacierpoint complex, 0 to 35 percent slopes, mountain slopes, moraines, joints, cryic",NA,16632938,"Vitrandic Dystrocryepts","Family",10,"No ","X"
"305",1542308,"Canisrocks-Rock outcrop-Glacierpoint complex, 0 to 35 percent slopes, mountain slopes, moraines, joints, cryic",NA,16632939,"Humic Dystrocryepts","Family",5,"No ","X"
"306",1542308,"Canisrocks-Rock outcrop-Glacierpoint complex, 0 to 35 percent slopes, mountain slopes, moraines, joints, cryic",NA,16632934,"Crazymule","Series",5,"No ","X"
"307",1542311,"Rock outcrop-Tuolumne-Humic Dystroxerepts-Rubble land complex, 30 to 100 percent slopes, mountainflanks, mesic",NA,16632949,"Tuolumne","Series",25,"Yes","A"
"308",1542311,"Rock outcrop-Tuolumne-Humic Dystroxerepts-Rubble land complex, 30 to 100 percent slopes, mountainflanks, mesic",NA,16632950,"Rubble land","Miscellaneous area",15,"Yes","X"
"309",1542311,"Rock outcrop-Tuolumne-Humic Dystroxerepts-Rubble land complex, 30 to 100 percent slopes, mountainflanks, mesic",NA,16632952,"Typic Xerorthents","Family",5,"No ","X"
"310",1542311,"Rock outcrop-Tuolumne-Humic Dystroxerepts-Rubble land complex, 30 to 100 percent slopes, mountainflanks, mesic",NA,16632951,"Rock outcrop","Miscellaneous area",25,"Yes","X"
"311",1542311,"Rock outcrop-Tuolumne-Humic Dystroxerepts-Rubble land complex, 30 to 100 percent slopes, mountainflanks, mesic",NA,16632954,"Vitrandic Xerorthents","Family",10,"No ","X"
"312",1542311,"Rock outcrop-Tuolumne-Humic Dystroxerepts-Rubble land complex, 30 to 100 percent slopes, mountainflanks, mesic",NA,16632953,"Humic Dystroxerepts","Family",20,"Yes","A"
"313",1542405,"Waterwheel-Humic Dystroxerepts complex, 15 to 45 percent slopes, mountain slopes, frigid",NA,16632975,"Humic Dystroxerepts","Family",16,"Yes","A"
"314",1542405,"Waterwheel-Humic Dystroxerepts complex, 15 to 45 percent slopes, mountain slopes, frigid",NA,16632972,"Waterwheel","Series",30,"Yes","A"
"315",1542405,"Waterwheel-Humic Dystroxerepts complex, 15 to 45 percent slopes, mountain slopes, frigid",NA,16632974,"Humic Dystroxerepts","Family",14,"No ","X"
"316",1542405,"Waterwheel-Humic Dystroxerepts complex, 15 to 45 percent slopes, mountain slopes, frigid",NA,16632979,"Humic Dystrudepts","Family",14,"No ","X"
"317",1542405,"Waterwheel-Humic Dystroxerepts complex, 15 to 45 percent slopes, mountain slopes, frigid",NA,16632976,"Typic Dystroxerepts","Family",14,"No ","X"
"318",1542405,"Waterwheel-Humic Dystroxerepts complex, 15 to 45 percent slopes, mountain slopes, frigid",NA,16632977,"Cumulic Humaquepts","Family",2,"No ","X"
"319",1542405,"Waterwheel-Humic Dystroxerepts complex, 15 to 45 percent slopes, mountain slopes, frigid",NA,16632978,"Clarkslodge","Series",3,"No ","X"
"320",1542405,"Waterwheel-Humic Dystroxerepts complex, 15 to 45 percent slopes, mountain slopes, frigid",NA,16632973,"Humic Dystroxerepts","Family",7,"No ","X"
"321",1542446,"Rock outcrop-Canisrocks-Glacierpoint complex, 30 to 80 percent slopes, mountain slopes, joints, cryic",NA,16633088,"Canisrocks","Series",25,"Yes","A"
"322",1542446,"Rock outcrop-Canisrocks-Glacierpoint complex, 30 to 80 percent slopes, mountain slopes, joints, cryic",NA,16633087,"Glacierpoint","Series",20,"Yes","A"
"323",1542446,"Rock outcrop-Canisrocks-Glacierpoint complex, 30 to 80 percent slopes, mountain slopes, joints, cryic",NA,16633086,"Vitrandic Cryorthents","Family",4,"No ","X"
"324",1542446,"Rock outcrop-Canisrocks-Glacierpoint complex, 30 to 80 percent slopes, mountain slopes, joints, cryic",NA,16633089,"Rock outcrop","Miscellaneous area",40,"Yes","X"
"325",1542446,"Rock outcrop-Canisrocks-Glacierpoint complex, 30 to 80 percent slopes, mountain slopes, joints, cryic",NA,16633090,"Oxyaquic Dystrocryepts","Family",4,"No ","X"
"326",1542446,"Rock outcrop-Canisrocks-Glacierpoint complex, 30 to 80 percent slopes, mountain slopes, joints, cryic",NA,16633091,"Lithic Dystrocryepts","Taxon above family",3,"No ","X"
"327",1542446,"Rock outcrop-Canisrocks-Glacierpoint complex, 30 to 80 percent slopes, mountain slopes, joints, cryic",NA,16633085,"Lithic Cryorthents","Family",4,"No ","X"
"328",1542447,"Rock outcrop-Typic Cryorthents-Xeric Dystrocryepts complex, 0 to 35 percent slopes, mountain slopes, joints, cryic",NA,16633084,"Rock outcrop","Miscellaneous area",40,"Yes","X"
"329",1542447,"Rock outcrop-Typic Cryorthents-Xeric Dystrocryepts complex, 0 to 35 percent slopes, mountain slopes, joints, cryic",NA,16633078,"Xeric Dystrocryepts","Family",15,"Yes","A"
"330",1542447,"Rock outcrop-Typic Cryorthents-Xeric Dystrocryepts complex, 0 to 35 percent slopes, mountain slopes, joints, cryic",NA,16633083,"Histosols","Taxon above family",1,"No ","X"
"331",1542447,"Rock outcrop-Typic Cryorthents-Xeric Dystrocryepts complex, 0 to 35 percent slopes, mountain slopes, joints, cryic",NA,16633082,"Water","Miscellaneous area",1,"No ","X"
"332",1542447,"Rock outcrop-Typic Cryorthents-Xeric Dystrocryepts complex, 0 to 35 percent slopes, mountain slopes, joints, cryic",NA,16633076,"Typic Cryorthents","Family",30,"Yes","A"
"333",1542447,"Rock outcrop-Typic Cryorthents-Xeric Dystrocryepts complex, 0 to 35 percent slopes, mountain slopes, joints, cryic",NA,16633077,"Lithic Cryorthents","Family",3,"No ","X"
"334",1542447,"Rock outcrop-Typic Cryorthents-Xeric Dystrocryepts complex, 0 to 35 percent slopes, mountain slopes, joints, cryic",NA,16633079,"Lithic Dystrocryepts","Taxon above family",2,"No ","X"
"335",1542447,"Rock outcrop-Typic Cryorthents-Xeric Dystrocryepts complex, 0 to 35 percent slopes, mountain slopes, joints, cryic",NA,16633080,"Humic Dystrocryepts","Family",3,"No ","X"
"336",1542447,"Rock outcrop-Typic Cryorthents-Xeric Dystrocryepts complex, 0 to 35 percent slopes, mountain slopes, joints, cryic",NA,16633081,"Glacierpoint","Series",5,"No ","X"
"337",1542453,"Rock outcrop, domes, frigid",NA,16633108,"Humic Dystroxerepts","Family",5,"No ","X"
"338",1542453,"Rock outcrop, domes, frigid",NA,16633106,"Rock outcrop","Miscellaneous area",85,"Yes","X"
"339",1542453,"Rock outcrop, domes, frigid",NA,16633107,"Dystric Xerorthents","Family",10,"No ","X"
