"","peiid","pedon_id","siteiid","site_id","obs_date","utmzone","utmeasting","utmnorthing","x","y","horizdatnm","musym","areasym","mlra","musym_match"
"17","307587","S08CA109001",309599,"S2008CA630AMS017",2008-06-04,10,734822.09,4196883.26,-120.329719543457,37.8891639709473,"NAD83","7210","CA630","18",NA
"24","342445","S09CA009002",346944,"S2009CA630CKS001",2009-03-23,10,713136.19,4200626.04,-120.574996948242,37.9283294677734,"NAD83","7076","CA630","18",NA
"26","342447","S09CA109004",346943,"S2009CA630BJM031",2009-03-25,10,720170.55,4194359.47,-120.496940612793,37.8699989318848,"NAD83","7155","CA630","18",NA
