"","musym","dmudesc","compname","comppct_r","compkind","drainagecl","slope_h","nirrcapcl","nirrcapscl","nirrcapunit","irrcapcl","irrcapscl","irrcapunit","landform_string","restr_depth","has_textural_B","pscs_clay","surface.rf.high","surface.txclay.high","subclass_prop_crit","subclass_slope_crit","subclass_calc","unit_calc"
"41","8177","MLRA 18 - 22786 Moccasinhill-Copperopolis-Sanguinetti cplx, 30 to 60","Sanguinetti",20,"series","well",60,7,"e",NA,7,"e",NA,"canyon & hill",115,FALSE,20,15,20,"2a",5,"e","NA"
"9","8177","MLRA 18 - 22786 Moccasinhill-Copperopolis-Sanguinetti cplx, 30 to 60","Copperopolis",30,"series","somewhat excessively",60,7,"e",NA,7,"e",NA,"hill & canyon",46,FALSE,21.5526315789474,35,20,"4a",5,"e","NA"
"8","8177","MLRA 18 - 22786 Moccasinhill-Copperopolis-Sanguinetti cplx, 30 to 60","Moccasinhill",45,"series","well",60,7,"e",NA,7,"e",NA,"canyon & hill",71,FALSE,23,30,20,"2a",5,"e","NA"
"42","8178","MLRA 18 - 22787 Moccasinhill-Copperopolis cplx, 60 to 90","Sanguinetti",5,"series","well",75,7,"e",NA,7,"e",NA,"canyon & hill",106,FALSE,19.2289156626506,35,25,"2a",5,"e","NA"
"65","8178","MLRA 18 - 22787 Moccasinhill-Copperopolis cplx, 60 to 90","Millvilla",10,"taxadjunct","well",90,8,NA,NA,8,NA,NA,"canyon & hill",92,FALSE,26.6493506493506,15,27,"2a",5,"NA","NA"
"11","8178","MLRA 18 - 22787 Moccasinhill-Copperopolis cplx, 60 to 90","Copperopolis",30,"series","somewhat excessively",90,8,NA,NA,8,NA,NA,"hill & canyon",30,FALSE,19.6666666666667,35,20,"4a",5,"NA","NA"
"10","8178","MLRA 18 - 22787 Moccasinhill-Copperopolis cplx, 60 to 90","Moccasinhill",45,"series","well",90,8,NA,NA,8,NA,NA,"canyon & hill",70,FALSE,12,35,20,"2a",5,"NA","NA"
"70","8190","MLRA 22A - 2nf4c Lickinfork-Arpatutu cplx, 40 to 90","Nedsgulch",10,"taxadjunct","well",90,8,NA,NA,8,NA,NA,"canyon & mountain slope",152,TRUE,28.8174603174603,15,20,"2a",5,"NA","NA"
"71","8190","MLRA 22A - 2nf4c Lickinfork-Arpatutu cplx, 40 to 90","Arpatutu",35,"series","well",90,8,NA,NA,8,NA,NA,"mountain slope & canyon",56,TRUE,19.5272727272727,15,20,"2a",5,"NA","NA"
"72","8190","MLRA 22A - 2nf4c Lickinfork-Arpatutu cplx, 40 to 90","Lickinfork",50,"series","well",90,8,NA,NA,8,NA,NA,"canyon & mountain slope",152,TRUE,27.1884057971014,15,20,"2a",5,"NA","NA"
