"","MU Rec ID","MUSYM","Status","Legend_Acres","Spatial_Acres","match"
"102",495419,"100ty","correlated",1815,1818,FALSE
"169",1670092,"100ty","additional",1815,1818,FALSE
"3",464977,"101","correlated",16086,16086,TRUE
"215",2403709,"1012","correlated",0,11,FALSE
"103",626018,"101ty","correlated",10077,10044,FALSE
"170",1670093,"101ty","additional",10077,10044,FALSE
"4",464978,"102","correlated",5935,5585,FALSE
"104",626019,"102ty","correlated",781,778,FALSE
"171",1670094,"102ty","additional",781,778,FALSE
"5",464979,"103","correlated",36470,33844,FALSE
"6",464980,"104","correlated",4962,3744,FALSE
"7",464981,"105","correlated",1160,1294,FALSE
"8",464982,"106","correlated",8680,7642,FALSE
"9",464983,"107","correlated",3970,6289,FALSE
"10",464984,"108","correlated",16545,13531,FALSE
"111",1670104,"108ef","correlated",572,569,FALSE
"11",464985,"109","correlated",8490,7729,FALSE
"112",1670105,"109ef","correlated",334,337,FALSE
"12",464986,"110","correlated",7170,8170,FALSE
"13",464987,"111","correlated",2320,1958,FALSE
"105",493227,"111ty","correlated",7,7,TRUE
"172",1670095,"111ty","additional",7,7,TRUE
"14",464988,"112","correlated",2720,2994,FALSE
"15",464989,"113","correlated",7950,8329,FALSE
"16",464990,"114","correlated",34391,34382,FALSE
"17",464991,"115","correlated",4300,4393,FALSE
"18",464992,"116","correlated",27310,29567,FALSE
"19",464993,"117","correlated",12000,10687,FALSE
"20",464994,"118","correlated",12880,13243,FALSE
"21",464995,"119","correlated",2675,2923,FALSE
"22",464996,"120","correlated",12166,12164,FALSE
"23",464997,"121","correlated",4400,5341,FALSE
"24",464998,"122","correlated",19285,22006,FALSE
"25",464999,"123","correlated",8715,7463,FALSE
"26",465000,"124","correlated",16865,17781,FALSE
"27",465001,"125","correlated",8250,8059,FALSE
"28",465002,"126","correlated",16681,15248,FALSE
"29",465003,"127","correlated",2970,3422,FALSE
"30",465004,"128","correlated",2290,5576,FALSE
"31",465005,"129","correlated",1300,1978,FALSE
"32",465006,"130","correlated",27199,27134,FALSE
"106",493229,"130ty","correlated",303,304,FALSE
"173",1670096,"130ty","additional",303,304,FALSE
"33",465007,"131","correlated",2785,2325,FALSE
"107",626021,"131ty","correlated",631,637,FALSE
"174",1670098,"131ty","additional",631,637,FALSE
"34",465008,"132","correlated",1065,909,FALSE
"35",465009,"133","correlated",2000,1815,FALSE
"36",465010,"134","correlated",1525,1342,FALSE
"37",465011,"135","correlated",1268,1187,FALSE
"38",465012,"136","correlated",9210,9678,FALSE
"39",465013,"137","correlated",7630,7976,FALSE
"40",465014,"138","correlated",2540,1930,FALSE
"41",465015,"139","correlated",2780,2781,FALSE
"42",465016,"140","correlated",2470,2531,FALSE
"43",465017,"141","correlated",3240,3696,FALSE
"44",465018,"142","correlated",4105,3544,FALSE
"45",465019,"143","correlated",4055,3716,FALSE
"46",465020,"144","correlated",3375,3205,FALSE
"47",465021,"145","correlated",3620,3780,FALSE
"48",465022,"146","correlated",1870,1850,FALSE
"49",465023,"147","correlated",4190,4303,FALSE
"50",465024,"148","correlated",9050,9528,FALSE
"51",465025,"149","correlated",1395,1296,FALSE
"52",465026,"150","correlated",2820,2813,FALSE
"53",465027,"151","correlated",855,583,FALSE
"54",465028,"152","correlated",3530,1238,FALSE
"55",465029,"153","correlated",21760,20710,FALSE
"56",465030,"154","correlated",7620,6693,FALSE
"57",465031,"155","correlated",8905,7040,FALSE
"58",465032,"156","correlated",1745,794,FALSE
"59",465033,"157","correlated",23170,21989,FALSE
"60",465034,"158","correlated",20560,19728,FALSE
"61",465035,"159","correlated",28849,27035,FALSE
"62",465036,"160","correlated",12980,10209,FALSE
"1",464975,"161","correlated",15000,14362,FALSE
"63",465037,"162","correlated",15000,3013,FALSE
"64",465038,"163","correlated",11215,9815,FALSE
"65",465039,"164","correlated",19418,19415,FALSE
"66",465040,"165","correlated",20585,20585,TRUE
"67",465041,"166","correlated",7820,9337,FALSE
"68",465042,"167","correlated",3520,3745,FALSE
"69",465043,"168","correlated",6130,6349,FALSE
"2",464976,"169","correlated",4940,4683,FALSE
"70",465044,"170","correlated",4940,30681,FALSE
"71",465045,"171","correlated",6270,2496,FALSE
"72",465046,"172","correlated",6950,6361,FALSE
"73",465047,"173","correlated",1315,1310,FALSE
"74",465048,"174","correlated",10914,10949,FALSE
"75",465049,"175","correlated",22595,20367,FALSE
"76",465050,"176","correlated",15055,14956,FALSE
"77",465051,"177","correlated",2625,1539,FALSE
"78",465052,"178","correlated",5990,5318,FALSE
"79",465053,"179","correlated",12410,12035,FALSE
"80",465054,"180","correlated",2890,3859,FALSE
"81",465055,"181","correlated",1460,1366,FALSE
"82",465056,"182","correlated",3030,2935,FALSE
"83",465057,"183","correlated",132775,131730,FALSE
"84",465058,"184","correlated",9740,9514,FALSE
"85",465059,"185","correlated",8650,8879,FALSE
"86",465060,"186","correlated",10500,10202,FALSE
"87",465061,"187","correlated",4610,3961,FALSE
"88",465062,"188","correlated",2175,2311,FALSE
"89",465063,"189","correlated",2425,2389,FALSE
"90",465064,"190","correlated",10320,8217,FALSE
"91",465065,"191","correlated",11860,12882,FALSE
"92",465066,"192","correlated",5100,5431,FALSE
"93",465067,"193","correlated",23487,23403,FALSE
"94",465068,"194","correlated",13815,13157,FALSE
"95",465069,"195","correlated",9660,13919,FALSE
"96",465070,"196","correlated",9540,8224,FALSE
"97",465071,"197","correlated",14645,14810,FALSE
"98",465072,"198","correlated",1360,1407,FALSE
"99",465073,"199","correlated",20035,19941,FALSE
"100",465074,"200","correlated",4180,2810,FALSE
"114",466335,"210yp","correlated",921,917,FALSE
"178",1670108,"210yp","additional",921,917,FALSE
"113",1670106,"220ef","correlated",86,88,FALSE
"115",466349,"224yp","correlated",438,491,FALSE
"179",1670109,"224yp","additional",438,491,FALSE
"116",1486440,"235yp","correlated",124,123,FALSE
"180",1670110,"235yp","additional",124,123,FALSE
"108",493233,"240ty","correlated",257,261,FALSE
"175",1670099,"240ty","additional",257,261,FALSE
"117",1475985,"242yp","correlated",124,122,FALSE
"181",1670111,"242yp","additional",124,122,FALSE
"118",1487341,"248yp","correlated",400,395,FALSE
"182",1670112,"248yp","additional",400,395,FALSE
"119",1487471,"249yp","correlated",423,415,FALSE
