"","MU Rec ID","MUSYM","Status","Legend_Acres","Spatial_Acres","match"
"1",462943,"2HB","correlated",1633,1654,FALSE
"2",462944,"3HA","correlated",253,246,FALSE
"3",462945,"3HB","correlated",750,757,FALSE
"4",462946,"3HC","correlated",626,635,FALSE
"5",462947,"4HB","correlated",1226,1187,FALSE
"6",462948,"5HB","correlated",1681,1700,FALSE
"7",462949,"5HD","correlated",1314,1387,FALSE
"8",462950,"5HE","correlated",18,18,TRUE
"9",462951,"6HB","correlated",2439,2560,FALSE
"10",462952,"6HD","correlated",1486,1476,FALSE
"302",1865929,"8033","correlated",60,60,TRUE
"303",1865930,"8034","correlated",63,63,TRUE
"11",462953,"AaA","correlated",875,966,FALSE
"12",462954,"AbB","correlated",4320,4387,FALSE
"13",462955,"AbD","correlated",1803,1818,FALSE
"14",462956,"AbE","correlated",22,23,FALSE
"15",462957,"AcA","correlated",456,1259,FALSE
"16",462958,"AdA","correlated",1226,1189,FALSE
"17",2641200,"AfA","correlated",6600,9028,FALSE
"296",462959,"AfA","additional",6600,9028,FALSE
"18",2641204,"AfB","correlated",8980,844,FALSE
"297",462960,"AfB","additional",8980,844,FALSE
"19",462961,"AgA","correlated",840,8432,FALSE
"20",462962,"AgB","correlated",1741,1676,FALSE
"21",462963,"AkA","correlated",1646,1909,FALSE
"22",462964,"AnA","correlated",1885,12628,FALSE
"23",462965,"AnB","correlated",12388,1269,FALSE
"24",462966,"ArB","correlated",1268,423,FALSE
"25",462967,"BaA","correlated",412,1502,FALSE
"26",462968,"BcA","correlated",1618,1179,FALSE
"27",462969,"BdA","correlated",824,914,FALSE
"28",462970,"BeA","correlated",1570,1858,FALSE
"29",462971,"BfA","correlated",59,61,FALSE
"30",462972,"BgA","correlated",1966,2041,FALSE
"31",462973,"BgP","additional",0,0,TRUE
"32",462974,"BkA","correlated",2149,2173,FALSE
"33",462975,"BmA","correlated",447,493,FALSE
"34",462976,"BnA","correlated",2397,2441,FALSE
"35",462977,"BpA","correlated",2492,2494,FALSE
"36",462978,"BrA","correlated",606,624,FALSE
"37",462979,"CaA","correlated",693,730,FALSE
"38",462980,"CbA","correlated",712,773,FALSE
"39",462981,"CcA","correlated",342,314,FALSE
"40",462982,"CeA","correlated",2765,2987,FALSE
"41",462983,"CfB","correlated",69,86,FALSE
"42",462984,"CfD","correlated",125,136,FALSE
"43",462985,"CgB","correlated",5128,5187,FALSE
"44",462986,"CgD","correlated",3095,3158,FALSE
"45",462987,"CgD2","correlated",1676,1709,FALSE
"46",462988,"CgE2","correlated",127,125,FALSE
