"","MUSYM","Area","MURecID","Status","Legend_Acres","Spatial_Acres","Change","Match"
"100","7066","missing","missing","missing",0,21427,21427,FALSE
"79","7078","CA649","2683396","correlated",160,19889,19729,FALSE
"85","7089","CA649","2450843","correlated",401,15935,15534,FALSE
"102","7092","missing","missing","missing",0,15072,15072,FALSE
"103","7096","missing","missing","missing",0,14247,14247,FALSE
"84","7088","CA649","1865926","correlated",2048,15516,13468,FALSE
"101","7091","missing","missing","missing",0,11530,11530,FALSE
"72","7083","CA649","2450844","correlated",185,8775,8590,FALSE
"99","7065","missing","missing","missing",0,8227,8227,FALSE
"80","7079","CA649","2683394","correlated",764,8123,7359,FALSE
"77","7074","CA649","2683397","correlated",4,6454,6450,FALSE
"25","DaE","CA649","463263","correlated",17387,21612,4225,FALSE
"78","7076","CA649","2683395","correlated",1418,5548,4130,FALSE
"82","7086","CA649","2440240","correlated",777,4565,3788,FALSE
"58","SaF","CA649","463296","correlated",8563,12030,3467,FALSE
"83","7087","CA649","2440242","correlated",59,3361,3302,FALSE
"45","MbH2","CA649","463283","correlated",12071,14678,2607,FALSE
"89","8034","CA649","1865930","correlated",251,1951,1700,FALSE
"27","DbG","CA649","463265","correlated",17289,18929,1640,FALSE
"28","HaG","CA649","463266","correlated",4833,6438,1605,FALSE
"24","DaD","CA649","463262","correlated",3424,4813,1389,FALSE
"67","W","CA649","2373912","correlated",7346,8710,1364,FALSE
"66","W","CA649","463305","additional",7439,8710,1271,FALSE
"6","AeD","CA649","463234","correlated",371,1496,1125,FALSE
"1","AaC","CA649","463229","correlated",1083,2198,1115,FALSE
"57","SaE","CA649","463295","correlated",3996,4990,994,FALSE
"54","Rb","CA649","463292","correlated",2218,3173,955,FALSE
"61","SdD2","CA649","463299","correlated",1212,2131,919,FALSE
"68","WaF","CA649","463306","correlated",3243,4114,871,FALSE
"88","8033","CA649","1865929","correlated",655,1481,826,FALSE
"10","AgG2","CA649","463238","correlated",2987,3797,810,FALSE
"63","SeF2","CA649","463301","correlated",8790,9529,739,FALSE
"17","BmG2","CA649","463255","correlated",1821,2545,724,FALSE
"8","AfE2","CA649","463236","correlated",3184,3730,546,FALSE
"56","SaD","CA649","463294","correlated",3461,3936,475,FALSE
"47","MdG2","CA649","463285","correlated",1827,2233,406,FALSE
"18","BoD","CA649","463256","additional",266,665,399,FALSE
"19","BoD","CA649","2659468","correlated",266,665,399,FALSE
"65","TaE2","CA649","463303","correlated",710,1059,349,FALSE
