"","MU Rec ID","MUSYM","Status","Legend_Acres","Spatial_Acres","match"
"1",2692032,"100","correlated",376,376,TRUE
"56",1403406,"100","additional",376,376,TRUE
"68",2685410,"1013","correlated",0,254,FALSE
"2",1403407,"102","correlated",82,82,TRUE
"3",1403408,"106","correlated",375,375,TRUE
"4",1403409,"107","correlated",4200,4207,FALSE
"5",1403410,"127","correlated",756,756,TRUE
"43",2689449,"128","correlated",77,70,FALSE
"65",1458793,"128","additional",77,70,FALSE
"6",1403411,"129","correlated",43,43,TRUE
"7",1403412,"130","correlated",940,939,FALSE
"8",1403413,"131","correlated",132,132,TRUE
"9",1403414,"134","correlated",7321,3323,FALSE
"10",1403415,"142","additional",208,211,FALSE
"52",2585383,"142","correlated",208,211,FALSE
"37",1403442,"151","correlated",461,213,FALSE
"11",1403416,"157","correlated",2013,2013,TRUE
"12",1403417,"158","correlated",292,292,TRUE
"13",1403418,"170","correlated",2158,2159,FALSE
"14",1403419,"172","correlated",547,548,FALSE
"42",1458792,"174","correlated",9,9,TRUE
"15",1403420,"175","correlated",2052,2053,FALSE
"16",1403421,"176","correlated",140,140,TRUE
"17",1403422,"177","correlated",254,254,TRUE
"41",1458791,"183","correlated",3,3,TRUE
"40",1458790,"187","correlated",11,11,TRUE
"39",1458789,"188","correlated",19,19,TRUE
"18",1403423,"193","correlated",435,4434,FALSE
"19",1403424,"195","correlated",402,402,TRUE
"20",1403425,"201","correlated",367,367,TRUE
"21",1403426,"202","correlated",243,243,TRUE
"22",2689438,"206","correlated",682,682,TRUE
"58",1403427,"206","additional",682,682,TRUE
"23",2689439,"207","correlated",1361,1361,TRUE
"59",1403428,"207","additional",1361,1361,TRUE
"51",2689441,"209","correlated",66,66,TRUE
"64",1710455,"209","additional",66,66,TRUE
"24",1403429,"210","correlated",417,417,TRUE
"25",2689442,"212","correlated",756,756,TRUE
"60",1403430,"212","additional",756,756,TRUE
"26",2659421,"219","correlated",33,33,TRUE
"55",1403431,"219","additional",33,33,TRUE
"27",2659416,"220","correlated",3425,3426,FALSE
"53",1403432,"220","additional",3425,3426,FALSE
"28",2659419,"221","correlated",211,211,TRUE
"54",1403433,"221","additional",211,211,TRUE
"29",1403434,"236","correlated",2975,2976,FALSE
"30",1403435,"237","correlated",4856,4856,TRUE
"31",1403436,"241","correlated",100,100,TRUE
"32",1403437,"266","correlated",216,216,TRUE
"33",1403438,"285","correlated",313,313,TRUE
"50",2689448,"301","correlated",2353,2439,FALSE
"67",1605512,"301","additional",2353,2439,FALSE
"34",2689444,"401","correlated",7057,7057,TRUE
"61",1403439,"401","additional",7057,7057,TRUE
"49",2689445,"451","correlated",27733,27823,FALSE
"63",1605511,"451","additional",27733,27823,FALSE
"48",1605510,"452","correlated",750,750,TRUE
"47",2689446,"475","correlated",11900,11901,FALSE
"62",1605509,"475","additional",11900,11901,FALSE
"69",2559209,"5012","correlated",0,5765,FALSE
"70",2559182,"5013","correlated",0,5648,FALSE
"71",2559205,"5201","correlated",0,18,FALSE
"35",1403440,"551","correlated",6893,0,FALSE
"44",1540891,"575","correlated",4532,0,FALSE
"74",2683395,"7076","correlated",0,3641,FALSE
"75",2683396,"7078","correlated",0,76,FALSE
"72",2450844,"7083","correlated",0,98,FALSE
"73",2441798,"7085","correlated",0,1490,FALSE
"36",1403441,"751","correlated",2402,0,FALSE
"46",1605508,"775","correlated",3009,0,FALSE
"76",2685408,"8111","correlated",0,17,FALSE
"45",2696144,"851","correlated",834,842,FALSE
"66",1540892,"851","additional",834,842,FALSE
"57",1403443,"999","additional",2231,0,FALSE
"38",2373912,"W","correlated",2231,2220,FALSE
