"","MU Rec ID","MUSYM","Status","Legend_Acres","Spatial_Acres","match"
"1",461993,"101","correlated",9540,9516,FALSE
"226",2685410,"1013","correlated",0,61,FALSE
"2",461994,"102","correlated",210,267,FALSE
"3",2620633,"103","correlated",2025,1967,FALSE
"190",461995,"103","additional",2025,1967,FALSE
"4",2620634,"104","correlated",4450,5853,FALSE
"189",461996,"104","additional",4450,5853,FALSE
"5",461997,"105","correlated",600,0,FALSE
"6",461998,"106","correlated",590,469,FALSE
"7",461999,"107","correlated",20520,19928,FALSE
"8",462000,"108","correlated",365,395,FALSE
"9",462001,"109","correlated",1385,1283,FALSE
"10",462002,"110","correlated",1675,1850,FALSE
"11",462003,"111","correlated",4125,3753,FALSE
"12",462004,"112","correlated",4125,4196,FALSE
"13",462005,"113","correlated",530,657,FALSE
"14",462006,"114","correlated",5370,5635,FALSE
"15",462007,"115","correlated",8195,6590,FALSE
"16",462008,"116","correlated",1080,1062,FALSE
"17",2692107,"117","correlated",260,312,FALSE
"243",462009,"117","additional",260,312,FALSE
"18",2692031,"118","correlated",23890,23988,FALSE
"209",462010,"118","additional",23890,23988,FALSE
"19",2711380,"119","correlated",670,613,FALSE
"244",462011,"119","additional",670,613,FALSE
"20",2711381,"120","correlated",900,943,FALSE
"245",462012,"120","additional",900,943,FALSE
"21",2692035,"121","correlated",14400,14046,FALSE
"208",462013,"121","additional",14400,14046,FALSE
"22",2711382,"122","correlated",2130,2538,FALSE
"246",462014,"122","additional",2130,2538,FALSE
"23",462015,"123","correlated",3680,4886,FALSE
"24",462016,"124","correlated",495,477,FALSE
"25",462017,"125","correlated",555,732,FALSE
"26",462018,"126","correlated",1070,953,FALSE
"27",462019,"127","correlated",1915,1860,FALSE
"28",2689449,"128","correlated",1390,1536,FALSE
"225",462020,"128","additional",1390,1536,FALSE
"29",462021,"129","correlated",12970,12759,FALSE
"30",462022,"130","correlated",10985,10780,FALSE
"31",462023,"131","correlated",2535,2661,FALSE
"32",462024,"132","correlated",2640,2815,FALSE
"33",462025,"133","correlated",1750,2054,FALSE
