"","MU Rec ID","MUSYM","Status","Legend_Acres","Spatial_Acres","match"
"71",462597,"GrA","correlated",299,304,FALSE
"72",462598,"GsA","correlated",3404,3399,FALSE
"73",462599,"GsB","correlated",83,115,FALSE
"74",462600,"GvA","correlated",5460,5457,FALSE
"75",462601,"HaB","correlated",155,160,FALSE
"76",462602,"HbA","correlated",5425,5634,FALSE
"77",462603,"HbmA","correlated",361,358,FALSE
"78",462604,"HbpA","correlated",5423,5402,FALSE
"79",462605,"HbsA","correlated",4389,4409,FALSE
"80",462606,"HcA","correlated",160,171,FALSE
"81",462607,"HdA","correlated",47860,45858,FALSE
"82",462608,"HdB","correlated",900,881,FALSE
"83",462609,"HdC","correlated",183,186,FALSE
"85",462611,"HddA","correlated",518,530,FALSE
"86",462612,"HdmA","correlated",257,268,FALSE
"87",462613,"HdpA","correlated",13432,13007,FALSE
"84",462610,"HdPA","additional",0,0,TRUE
"88",462614,"HdsA","correlated",4925,4918,FALSE
"89",462615,"HeA","correlated",743,722,FALSE
"90",462616,"HfA","correlated",14150,13305,FALSE
"91",462617,"HfdA","correlated",385,398,FALSE
"92",462618,"HfeA","correlated",32,33,FALSE
"93",462619,"HkaA","correlated",78,83,FALSE
"94",462620,"HkbA","correlated",4173,4125,FALSE
"95",462621,"HmA","correlated",468,477,FALSE
"96",462622,"HnA","correlated",421,408,FALSE
"97",462623,"HoA","correlated",208,186,FALSE
"98",462624,"HpA","correlated",768,769,FALSE
"99",462625,"HrA","correlated",187,174,FALSE
"100",462626,"HsB","correlated",140,138,FALSE
"101",462627,"HtA","correlated",923,911,FALSE
"102",462628,"HtB","correlated",1212,1183,FALSE
"103",462629,"HuA","correlated",579,606,FALSE
"104",462630,"HuB","correlated",485,484,FALSE
"105",462631,"HvB","correlated",368,196,FALSE
"106",462632,"HvD","correlated",391,400,FALSE
"107",462633,"HyB","correlated",1469,1425,FALSE
"108",462634,"HyD","correlated",2637,1768,FALSE
"109",462635,"INT","additional",1419,0,FALSE
"110",462636,"KeB","correlated",4227,4212,FALSE
"111",462637,"KgB","correlated",1310,1298,FALSE
"112",462638,"La","correlated",1031,219,FALSE
"228",822364,"M-W","correlated",1213,1214,FALSE
"115",462641,"MaA","correlated",558,562,FALSE
"113",462639,"MAD","additional",36,0,FALSE
"116",462642,"MbB","additional",0,0,TRUE
"117",462643,"MdA","correlated",11295,11405,FALSE
"118",462644,"MdB","correlated",734,725,FALSE
"119",462645,"MeA","correlated",296,294,FALSE
"114",462640,"MIN","additional",177,0,FALSE
"120",462646,"MkA","correlated",1444,1443,FALSE
"121",462647,"MmA","correlated",1161,1160,FALSE
"122",462648,"MnA","correlated",1031,1045,FALSE
"123",462649,"MoA","correlated",3290,3322,FALSE
"124",462650,"MpA","correlated",496,504,FALSE
"125",462651,"MtA","correlated",4894,4988,FALSE
"126",462652,"MtB","correlated",5728,5736,FALSE
"127",462653,"MtC","correlated",2233,2224,FALSE
"128",462654,"MtC2","correlated",1397,1412,FALSE
"129",462655,"MtD2","correlated",3362,3045,FALSE
"130",462656,"MtD3","correlated",695,689,FALSE
"131",462657,"MvA","correlated",625,635,FALSE
"229",1486181,"NODIG","additional",0,0,TRUE
"230",1611194,"NOTCOM","additional",0,3390,FALSE
"231",2493771,"NOTCOM","correlated",0,3390,FALSE
"132",462658,"OaA","correlated",5888,5852,FALSE
"133",462659,"PaA","correlated",3394,3434,FALSE
"134",462660,"PcB","correlated",24,81,FALSE
"135",462661,"PcD","correlated",239,231,FALSE
"136",462662,"PeB","correlated",4546,3522,FALSE
"137",462663,"PeD","correlated",9295,7566,FALSE
"138",462664,"PeF","correlated",1790,1424,FALSE
"139",462665,"PfB","correlated",577,571,FALSE
"140",462666,"PfD","correlated",1162,1171,FALSE
"141",462667,"PfE","correlated",409,352,FALSE
"142",462668,"PmB","correlated",588,599,FALSE
"143",462669,"PmC","correlated",693,705,FALSE
"144",462670,"PmC2","correlated",965,965,TRUE
"145",462671,"PmD","correlated",589,597,FALSE
"146",462672,"PmD2","correlated",3440,3399,FALSE
"147",462673,"PoB","correlated",398,299,FALSE
"148",462674,"PpB","additional",786,0,FALSE
"149",2689442,"PtB","correlated",4366,4079,FALSE
"241",462675,"PtB","additional",4366,4079,FALSE
"150",462676,"PtC","correlated",561,537,FALSE
"151",462677,"PvB","correlated",3504,3389,FALSE
"152",462678,"PvC","correlated",833,767,FALSE
"153",462679,"PxB","correlated",9261,7584,FALSE
"154",462680,"PxC","correlated",3006,2672,FALSE
"155",462681,"RaA","correlated",2488,2291,FALSE
"156",462682,"RaB","correlated",1882,1862,FALSE
"157",462683,"RaC","correlated",36,37,FALSE
"158",462684,"RbB","correlated",3087,3070,FALSE
"159",462685,"RbC","correlated",212,197,FALSE
"160",2659422,"RcB","correlated",488,434,FALSE
"239",462686,"RcB","additional",488,434,FALSE
"161",462687,"RcC","correlated",4,11,FALSE
"162",2659416,"RdB","correlated",2524,1231,FALSE
"238",462688,"RdB","additional",2524,1231,FALSE
"163",462689,"ReA","correlated",1609,1742,FALSE
"164",462690,"ReB","correlated",1846,1787,FALSE
"165",462691,"RfA","correlated",373,375,FALSE
"166",462692,"RgA","correlated",88,92,FALSE
"167",462693,"RkA","correlated",640,639,FALSE
"168",462694,"RnA","correlated",360,374,FALSE
"169",462695,"RoA","correlated",70,70,TRUE
"170",462696,"Rr","correlated",1532,1499,FALSE
"171",462697,"RtA","correlated",949,994,FALSE
"172",462698,"RvA","correlated",545,309,FALSE
"173",462699,"RyA","correlated",1345,1321,FALSE
"174",2641196,"SaA","correlated",18559,17615,FALSE
"236",462700,"SaA","additional",18559,17615,FALSE
"175",462701,"SaB","correlated",1362,1392,FALSE
"176",462702,"Sc","correlated",585,229,FALSE
"177",462703,"SmA","correlated",796,817,FALSE
"178",462704,"SnA","correlated",5787,5749,FALSE
"179",462705,"SnB","correlated",1998,2011,FALSE
"180",462706,"SwA","correlated",117,124,FALSE
"181",462707,"TbA","correlated",285,301,FALSE
"182",462708,"TcA","correlated",1430,1228,FALSE
"183",462709,"TdA","correlated",279,182,FALSE
"184",462710,"TeA","correlated",278,270,FALSE
"185",462711,"TfA","correlated",170,178,FALSE
"186",462712,"TgA","correlated",168,95,FALSE
"187",462713,"ThA","correlated",546,551,FALSE
"188",462714,"TkA","correlated",1039,868,FALSE
"189",462715,"TmA","correlated",8,9,FALSE
"190",462716,"TnA","correlated",102,104,FALSE
"191",462717,"ToA","correlated",144,145,FALSE
"192",462718,"TpA","correlated",629,617,FALSE
"193",462719,"TrA","correlated",279,279,TRUE
"194",462720,"TsA","correlated",35,37,FALSE
"195",462721,"Tt","correlated",113,107,FALSE
"196",462722,"TuA","correlated",19578,18516,FALSE
"197",462723,"TuB","correlated",329,336,FALSE
"198",462724,"TvA","correlated",1339,1409,FALSE
"199",462725,"Tx","correlated",3841,3893,FALSE
"200",2373912,"W","correlated",8162,8874,FALSE
"240",462726,"W","additional",8162,8874,FALSE
"202",462728,"WaA","correlated",673,653,FALSE
"203",462729,"WbA","correlated",4636,4414,FALSE
"204",462730,"WcA","correlated",928,935,FALSE
"205",462731,"WdA","correlated",461,458,FALSE
"206",462732,"WeA","correlated",143,125,FALSE
"207",462733,"WhD","correlated",857,138,FALSE
"208",462734,"WhF","correlated",246,242,FALSE
"209",462735,"WkB","correlated",780,38,FALSE
"210",462736,"WmB","correlated",4404,4454,FALSE
"211",462737,"WmC","correlated",4197,4155,FALSE
"201",462727,"WMC","additional",0,0,TRUE
"212",462738,"WmC2","correlated",3413,3430,FALSE
"213",462739,"WmD","correlated",2717,2709,FALSE
"214",462740,"WmD2","correlated",6677,6629,FALSE
"215",462741,"WmE2","correlated",489,443,FALSE
"216",462742,"WrA","correlated",847,848,FALSE
"217",462743,"WrB","correlated",11235,11178,FALSE
"218",462744,"WrC","correlated",1993,1982,FALSE
"219",462745,"WtA","correlated",308,299,FALSE
"220",462746,"WvA","correlated",623,426,FALSE
"221",462747,"WyA","correlated",261,459,FALSE
"222",462748,"YkA","correlated",1670,1681,FALSE
"223",462749,"YoA","correlated",37,37,TRUE
"224",462750,"ZaB","correlated",125,134,FALSE
"225",462751,"ZaC","correlated",147,150,FALSE
"226",462752,"ZaD","correlated",71,71,TRUE
