"","MU Rec ID","MUSYM","Status","Legend_Acres","Spatial_Acres","match"
"243",2689448,"301","correlated",426,426,TRUE
"244",1865918,"3046","correlated",0,798,FALSE
"245",2450845,"3058","additional",0,36,FALSE
"242",2689445,"451","correlated",43,43,TRUE
"246",2403696,"5100","correlated",0,211,FALSE
"247",2450478,"5101","correlated",0,591,FALSE
"248",2683395,"7076","correlated",0,4283,FALSE
"249",2683396,"7078","correlated",0,49,FALSE
"250",2450844,"7083","correlated",0,216,FALSE
"251",2441798,"7085","correlated",0,515,FALSE
"252",2426483,"7096","correlated",0,36,FALSE
"253",1865929,"8033","correlated",0,801,FALSE
"254",1865930,"8034","correlated",0,482,FALSE
"255",2685408,"8111","correlated",0,346,FALSE
"1",462527,"AcA","correlated",137,140,FALSE
"2",462528,"AgB","correlated",1997,1983,FALSE
"3",462529,"AmB","correlated",1388,1411,FALSE
"4",462530,"AmD","correlated",1735,1721,FALSE
"5",462531,"AmF","correlated",76,79,FALSE
"6",462532,"AnA","correlated",615,524,FALSE
"7",462533,"AnB","correlated",74,70,FALSE
"8",462534,"AoA","correlated",157,77,FALSE
"9",462535,"AuB","correlated",743,739,FALSE
"10",462536,"AuD","correlated",114,115,FALSE
"11",462537,"BcA","correlated",907,865,FALSE
"12",462538,"BeA","correlated",449,432,FALSE
"13",462539,"BgA","correlated",329,307,FALSE
"14",462540,"BmA","correlated",125,107,FALSE
"15",462541,"CaA","correlated",1930,1935,FALSE
"16",462542,"CbA","correlated",377,379,FALSE
"17",462543,"CcA","correlated",1431,1548,FALSE
"18",462544,"CdA","correlated",51,62,FALSE
"19",462545,"CeA","correlated",1241,1281,FALSE
"20",462546,"CfA","correlated",1753,1502,FALSE
"21",462547,"CgA","correlated",241,174,FALSE
"22",462548,"ChA","correlated",278,291,FALSE
"23",462549,"CkA","correlated",467,550,FALSE
"24",462550,"CmA","correlated",852,958,FALSE
"25",462551,"CoA","correlated",356,363,FALSE
"26",462552,"CpA","correlated",996,1058,FALSE
"27",462553,"CsB","correlated",3560,3245,FALSE
"28",462554,"CyB","correlated",281,262,FALSE
"29",462555,"CyC","correlated",370,357,FALSE
"30",462556,"CyD","correlated",612,613,FALSE
"31",462557,"DeA","additional",4847,4836,FALSE
"234",2585361,"DeA","correlated",4847,4836,FALSE
"32",462558,"DeB","correlated",312,322,FALSE
"33",462559,"DfA","correlated",344,345,FALSE
"34",462560,"DgA","correlated",1652,1665,FALSE
"35",462561,"DhA","additional",1006,896,FALSE
"233",2585358,"DhA","correlated",1006,896,FALSE
"36",462562,"DhB","additional",626,626,TRUE
"232",2585397,"DhB","correlated",621,626,FALSE
"37",462563,"DkA","correlated",478,481,FALSE
"38",462564,"Dl","correlated",3196,2912,FALSE
"39",2619735,"DmA","correlated",10069,9925,FALSE
"235",462565,"DmA","additional",10069,9925,FALSE
"40",462566,"DnA","correlated",98,207,FALSE
"41",462567,"DoA","correlated",761,785,FALSE
"42",462568,"DpA","correlated",2317,2326,FALSE
"43",462569,"DrA","correlated",28648,27859,FALSE
"44",462570,"DsA","correlated",640,651,FALSE
"45",462571,"DtA","correlated",3371,3413,FALSE
"46",462572,"DuA","correlated",157,155,FALSE
"47",462573,"DwA","correlated",15811,14784,FALSE
"48",462574,"DxA","correlated",376,389,FALSE
"49",462575,"DyA","correlated",977,990,FALSE
"50",462576,"DzA","correlated",208,180,FALSE
"51",462577,"EcF","correlated",138,35,FALSE
"52",462578,"ErD","correlated",7233,3133,FALSE
"53",462579,"ExB","correlated",235,12,FALSE
"54",462580,"ExD","correlated",160,95,FALSE
"55",462581,"FoA","correlated",117,129,FALSE
"56",462582,"FpA","correlated",194,193,FALSE
"57",462583,"FrA","correlated",1003,1001,FALSE
"58",462584,"FsA","correlated",1458,1472,FALSE
"59",462585,"FtA","correlated",1491,1513,FALSE
"60",462586,"FuA","correlated",1505,1503,FALSE
"61",462587,"FvA","correlated",24,30,FALSE
"62",462588,"FwA","correlated",817,804,FALSE
"63",462589,"FxA","correlated",61,62,FALSE
"64",2641197,"GfA","correlated",1464,1467,FALSE
"237",462590,"GfA","additional",1464,1467,FALSE
"65",462591,"GgA","correlated",161,158,FALSE
"66",462592,"GhA","correlated",222,225,FALSE
"67",462593,"GkA","correlated",311,315,FALSE
"68",462594,"GmA","correlated",2942,2858,FALSE
"69",462595,"GnA","correlated",672,682,FALSE
"70",462596,"GoA","correlated",219,226,FALSE
"227",822363,"GP","correlated",111,110,FALSE
