"","MU Rec ID","MUSYM","Status","Legend_Acres","Spatial_Acres","match"
"110",2441253,"6071","correlated",0,267,FALSE
"85",2685383,"6072","correlated",0,3,FALSE
"86",2399769,"6074","correlated",0,161,FALSE
"87",2399770,"6075","correlated",0,1,FALSE
"88",2685384,"6079","correlated",0,20,FALSE
"89",2683397,"7074","correlated",0,4,FALSE
"90",2683395,"7076","correlated",0,1418,FALSE
"91",2683396,"7078","correlated",0,160,FALSE
"92",2683394,"7079","correlated",0,764,FALSE
"84",2450844,"7083","correlated",0,185,FALSE
"93",2441798,"7085","correlated",0,1476,FALSE
"94",2440240,"7086","correlated",0,777,FALSE
"95",2440242,"7087","correlated",0,59,FALSE
"96",1865926,"7088","correlated",0,2048,FALSE
"97",2450843,"7089","correlated",0,401,FALSE
"98",1865928,"7156","correlated",0,85,FALSE
"99",1906347,"7159","correlated",0,268,FALSE
"100",1865929,"8033","correlated",0,655,FALSE
"101",1865930,"8034","correlated",0,251,FALSE
"102",2399783,"8115","correlated",0,59,FALSE
"103",1913602,"8160","correlated",0,14,FALSE
"104",2220301,"8161","correlated",0,19,FALSE
"105",2383083,"8171","correlated",0,687,FALSE
"106",2383084,"8172","correlated",0,410,FALSE
"108",1913601,"8173","correlated",0,313,FALSE
"107",2424962,"8175","correlated",0,35,FALSE
"109",1913605,"8177","correlated",0,599,FALSE
"1",463229,"AaC","correlated",1083,2176,FALSE
"2",463230,"AaD","correlated",1984,1580,FALSE
"3",463231,"AbE","correlated",602,5,FALSE
"4",463232,"AcE","correlated",23739,22872,FALSE
"5",463233,"AdG","correlated",9373,8828,FALSE
"6",463234,"AeD","correlated",371,1516,FALSE
"7",463235,"AfD","correlated",4550,3719,FALSE
"8",463236,"AfE2","correlated",3293,3728,FALSE
"9",463237,"AgE","correlated",8794,9027,FALSE
"10",463238,"AgG2","correlated",3096,3864,FALSE
"11",463239,"AhD","correlated",9264,8938,FALSE
"12",463240,"AhE2","correlated",3785,4414,FALSE
"13",463241,"AkF2","correlated",4511,4036,FALSE
"14",463242,"AmG3","correlated",15049,12631,FALSE
"15",463243,"AnE","correlated",47744,47150,FALSE
"16",463244,"AnG2","correlated",38204,33396,FALSE
"17",463245,"BdD","correlated",5110,4716,FALSE
"18",463246,"BdE","correlated",4878,4124,FALSE
"19",463247,"BeD","correlated",467,458,FALSE
"20",463248,"BeF","correlated",8569,9664,FALSE
"21",463249,"BfG","correlated",1998,1765,FALSE
"22",463250,"BgD","correlated",4211,3949,FALSE
"23",463251,"BgE","correlated",1192,1524,FALSE
"24",463252,"BkE2","correlated",3857,3971,FALSE
"25",463253,"BlD","correlated",5316,5557,FALSE
"26",463254,"BlF","correlated",16886,17013,FALSE
"27",463255,"BmG2","correlated",1930,2462,FALSE
"28",2659468,"BoD","correlated",266,624,FALSE
"82",463256,"BoD","additional",266,624,FALSE
"29",463257,"BoF","additional",508,0,FALSE
"30",463258,"BrF2","correlated",8917,11403,FALSE
"31",463259,"BrF3","correlated",1197,1326,FALSE
"32",463260,"BrG2","correlated",1394,1658,FALSE
"33",463261,"CaC","correlated",2065,1520,FALSE
"34",463262,"DaD","correlated",3533,4741,FALSE
"35",463263,"DaE","correlated",17496,21740,FALSE
"79",894252,"DAM","correlated",46,46,TRUE
"36",463264,"DbE","correlated",23625,24079,FALSE
"37",463265,"DbG","correlated",17398,17319,FALSE
"38",463266,"HaG","correlated",4942,4991,FALSE
"39",463267,"HbC","correlated",448,511,FALSE
"40",463268,"HcF","correlated",1485,1448,FALSE
"41",463269,"JbD2","correlated",448,226,FALSE
"42",463270,"JbE2","correlated",347,345,FALSE
"43",463271,"JbF2","correlated",407,407,TRUE
"44",463272,"JcD2","correlated",391,310,FALSE
"45",463273,"JcE2","correlated",1023,489,FALSE
"46",463274,"JcF2","correlated",3298,2554,FALSE
"47",463275,"JdG2","correlated",1494,1050,FALSE
"48",463276,"JeF2","correlated",1358,1195,FALSE
"49",463277,"LbE","correlated",917,833,FALSE
"50",463278,"LcF","correlated",1202,1175,FALSE
"51",463279,"LdC","correlated",6860,7566,FALSE
"52",463280,"MaF2","correlated",5501,5117,FALSE
"53",463281,"MaG2","correlated",1731,1691,FALSE
"54",463282,"MbG3","correlated",26035,23771,FALSE
"55",463283,"MbH2","correlated",12180,11947,FALSE
"56",463284,"McE","correlated",1723,1492,FALSE
"80",894253,"MD","correlated",50,49,FALSE
